web_url,funcionario,foto_img,cargo_generico,cargo_ocupado,ministerio,foto_url
http://www.cba.gov.ar/reparticion/ministerio-de-salud/,Francisco José Fortuna,"[{'checksum': 'c6b6d757bd73dd1ac27b3baee43f3f69', 'path': 'full/879f490225da141ff8dbee4b7e012842c512e394.jpg', 'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/Francisco-Fortuna.jpg'}]",Ministro de Salud,Ministro de Salud,Ministro de Salud,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/Francisco-Fortuna.jpg
http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/,Luis Angulo,"[{'checksum': 'fcb802e0ce5e1eb4c13750ca3ce13e4a', 'path': 'full/78157dc5988838cf1618773ff6347619c83ca5c9.jpg', 'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Luis-Angulo.jpg'}]",Ministro de Justicia y Derechos Humanos,Ministro de Justicia y Derechos Humanos,Ministro de Justicia y Derechos Humanos,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Luis-Angulo.jpg
http://www.cba.gov.ar/reparticion/agencia-cordoba-innovar-y-emprender/,Mario César Cuneo,"[{'checksum': 'adc01f226985fbd23b4b3d1385fd8700', 'path': 'full/613ab531e80dc4f5c85c6c850840c250bbdcd176.jpg', 'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2016/07/mario-cuneo.png'}]",Presidente de la Agencia Córdoba Innovar y Emprender,Presidente de la Agencia Córdoba Innovar y Emprender,Presidente de la Agencia Córdoba Innovar y Emprender,http://www.cba.gov.ar/wp-content/4p96humuzp/2016/07/mario-cuneo.png
http://www.cba.gov.ar/reparticion/ministerio-de-obras-pubicas-y-financiamiento/, Ricardo Roberto Sosa,"[{'checksum': 'a2f8214e9c57196f03ad99dfc2b72012', 'path': 'full/2decfeda9949e5dd4ac30b4e17c7f1a578d1f87a.jpg', 'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2017/05/ricardososa.jpg'}]",Ministro de Obras Públicas y Financiamiento,Ministro de Obras Públicas y Financiamiento,Ministro de Obras Públicas y Financiamiento,http://www.cba.gov.ar/wp-content/4p96humuzp/2017/05/ricardososa.jpg
http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/direccion-jurisdiccion-control-de-gestion-y-desarrollo/,,,Dirección Control de Gestión y Desarrollo,Director Control  de Gestión y Desarrollo,Ministro de Agricultura y Ganadería,
http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/direccion-jurisdiccion-de-administracion/,María Soledad Pagán,,Dirección de Administración,Directora de Administración,Ministro de Agricultura y Ganadería,
http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/secretaria-de-agricultura/,Marcos Blanda,"[{'checksum': '31bceb44e9d0b514846735427edae9dd', 'path': 'full/075240348cac39858e5f972b117deb6a696bdbfd.jpg', 'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/marcos-blanda.gif'}]",Secretaría de Agricultura,Secretario de Agricultura,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/marcos-blanda.gif
http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/direccion-jurisdiccion-de-recursos-humanos/,,,Dirección de Recursos Humanos,Dirección de Recursos Humanos,Ministro de Agricultura y Ganadería,
http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/secretaria-de-ganaderia/,Olden Martín José Riberi,"[{'checksum': '32065a0a0b436c99cb847aa6b0062cfd', 'path': 'full/2503d437180147a7ddb7921343d226cd725f5797.jpg', 'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/Olden-Riberi1.jpg'}]",Secretaría de Ganadería,Secretario de Ganadería,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/Olden-Riberi1.jpg
http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/secretaria-de-ganaderia/direccion-de-produccion/,Liliana Allasia,"[{'checksum': 'cd494f3ca287e03137acfc51c64a85be', 'path': 'full/63c10ab3a5a2b8138302a294e12b52436d4f25e6.jpg', 'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2016/07/Liliana-Allasia.jpg'}]",Dirección de Producción,Directora de Producción,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/wp-content/4p96humuzp/2016/07/Liliana-Allasia.jpg
