cargo_generico,cargo_ocupado,foto_img,foto_url,funcionario,ministerio,web_url
Dirección de Vinculación Institucional y Sectorial,Directora,"[{'url': 'https://www.cba.gov.ar/wp-content/4p96humuzp/2012/10/Victoria_Rosati.jpg', 'path': 'full/fe025a08815b815b48eab960031f15344c612a6b.jpg', 'checksum': 'e8816554046680eae7fe757b9577ff74'}]",https://www.cba.gov.ar/wp-content/4p96humuzp/2012/10/Victoria_Rosati.jpg,Victoria Rosati,Ministerio de Ciencia y Tecnología,https://www.cba.gov.ar/reparticion/ministerio-de-ciencia-y-tecnologia/
Dirección de Innovación Científica Tecnológica,Director,"[{'url': 'https://www.cba.gov.ar/wp-content/4p96humuzp/2012/10/Mario_Buteler.jpg', 'path': 'full/d0bfe29e1701fc9e6816c11f2037141408c7e1f6.jpg', 'checksum': '2f932e675cbbea9951e1f5868fb9e2f5'}]",https://www.cba.gov.ar/wp-content/4p96humuzp/2012/10/Mario_Buteler.jpg,Mario Buteler,Ministerio de Ciencia y Tecnología,https://www.cba.gov.ar/reparticion/ministerio-de-ciencia-y-tecnologia/
Dirección General de Planificación Estratégica de Seguridad,Directora General,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/07/lucasmezzano1.jpg', 'path': 'full/9fa068a247828fc21e58e69c7b525790e3ad99dd.jpg', 'checksum': '3565506b990c4ce75ffa9ac3ce526d9a'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2012/07/lucasmezzano1.jpg,Lucas Sebastián Mezzano,Ministerio de Gobierno,https://www.cba.gov.ar/reparticion/ministerio-de-gobierno/
Secretaría de Asuntos Institucionales,Secretario,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2017/12/miguel-siciliano.jpg', 'path': 'full/2aea26678d309d934b8e1146696f89adb3997af7.jpg', 'checksum': '6002ec5d383493f3b5d88a6d191c56bf'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2017/12/miguel-siciliano.jpg,Miguel Siciliano,Ministerio de Gobierno,https://www.cba.gov.ar/reparticion/ministerio-de-gobierno/
Secretaría de Integración Regional y Relaciones Internacionales,Secretario,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2016/02/carlos-alesandri.jpg', 'path': 'full/5857dad845b48f4328f8120f967f2a5b406c7066.jpg', 'checksum': '1b9981bd6515d8b338cab9bc95562491'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2016/02/carlos-alesandri.jpg,Carlos Tomás Alesandri,Ministerio de Gobierno,https://www.cba.gov.ar/reparticion/ministerio-de-gobierno/
Secretaría de Gestión de Riesgo Climático y Catástrofes,Secretario,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/Claudio-Vignetta.jpg', 'path': 'full/7c98ef9f750dab99cb226a1d8673d4d77fc2ef9a.jpg', 'checksum': '4847b4a0d3ae7aedbd238633d4f89c4b'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/Claudio-Vignetta.jpg,Claudio Severino Vignetta,Ministerio de Gobierno,https://www.cba.gov.ar/reparticion/ministerio-de-gobierno/
Consejo Provincial de las Mujeres,Presidenta,"[{'url': 'https://www.cba.gov.ar/wp-content/uploads/2019/05/pregno2.jpg', 'path': 'full/9f86684bc9e24de3f3cf3a0d962138fc34d55647.jpg', 'checksum': 'd04f88f518f23a9cef423f8ff02117df'}]",https://www.cba.gov.ar/wp-content/uploads/2019/05/pregno2.jpg,Alicia Mónica Pregno,Consejo Provincial de las Mujeres,https://www.cba.gov.ar/reparticion/consejo-provincial-de-las-mujeres/
Universidad Provincial de Córdoba,Rectora,"[{'url': 'https://www.cba.gov.ar/wp-content/uploads/2019/05/autoridad_raquel_krawchik1.jpg', 'path': 'full/ecb4e2a60447d43bcb5e498e5ed90b31e6a61f4b.jpg', 'checksum': 'b9a46a3dab1ee02d7078fb7a3c4aa109'}]",https://www.cba.gov.ar/wp-content/uploads/2019/05/autoridad_raquel_krawchik1.jpg,Raquel Krawchik,Universidad Provincial de Córdoba,https://www.cba.gov.ar/reparticion/universidad-provincial-de-cordoba/
Agencia Córdoba Inversiones y Financiamiento SEM,Presidente,"[{'url': 'https://www.cba.gov.ar/wp-content/uploads/2016/09/botta.jpg', 'path': 'full/94924015399c999d587e56ce62666a9c49bd42e0.jpg', 'checksum': '3a4474c59815aa95bf0fac5c16c7c9d0'}]",https://www.cba.gov.ar/wp-content/uploads/2016/09/botta.jpg,Marcelo Botta,Agencia Córdoba Inversiones y Financiamiento SEM,https://www.cba.gov.ar/reparticion/agencia-cordoba-inversiones-y-financiamiento-sem/
Agencia ProCórdoba,Presidente,"[{'url': 'https://www.cba.gov.ar/wp-content/uploads/2019/02/JorgeMarcotegui1.jpg', 'path': 'full/329a6815700b57ef573bf32a695534a617ce63bd.jpg', 'checksum': 'ee7a2f1eeb04a19a23f526031e979628'}]",https://www.cba.gov.ar/wp-content/uploads/2019/02/JorgeMarcotegui1.jpg,Jorge Marcotegui,Agencia ProCórdoba,https://www.cba.gov.ar/reparticion/agencia-procordoba/
Agencia ProCórdoba,Vicepresidente,"[{'url': 'https://www.cba.gov.ar/wp-content/uploads/2019/06/JorgeGleria1.jpg', 'path': 'full/36c93dee1d807aa943a058090b462b939b572d10.jpg', 'checksum': '6d6c78aeafe96862a813003ad07cb542'}]",https://www.cba.gov.ar/wp-content/uploads/2019/06/JorgeGleria1.jpg,Jorge Gleria,Agencia ProCórdoba,https://www.cba.gov.ar/reparticion/agencia-procordoba/
Agencia Córdoba Joven,Presidente,"[{'url': 'https://www.cba.gov.ar/wp-content/4p96humuzp/2016/01/Julieta-Rinaldi1.jpg', 'path': 'full/e31373f2714492dc32b1acffbb8fd0d71c7f90aa.jpg', 'checksum': '385cf2760eac910fe2abac82b90b279f'}]",https://www.cba.gov.ar/wp-content/4p96humuzp/2016/01/Julieta-Rinaldi1.jpg,Julieta Rinaldi,Agencia Córdoba Joven,https://www.cba.gov.ar/reparticion/agencia-cordoba-joven/
Vocal Agencia Córdoba Joven,Vocal,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2016/01/thumbnail_LEANDRO-CARPINTERO-retoc.jpg', 'path': 'full/a57b776a1fb9393b3db7800964cfea95b708a0fc.jpg', 'checksum': 'fe0513616827a8e96ff095caad17e532'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2016/01/thumbnail_LEANDRO-CARPINTERO-retoc.jpg,Leandro Martín Carpintero,Agencia Córdoba Joven,https://www.cba.gov.ar/reparticion/agencia-cordoba-joven/
Vocal Agencia Córdoba Joven,Vocal,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2016/01/thumbnail_JONATAN-PALOMEQUE-FARFAN-retoc.jpg', 'path': 'full/3655b000dd58f1e22a64e8951083265ffe80cb99.jpg', 'checksum': '0a5ca949df2bacecea2fd2f1575a9bdf'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2016/01/thumbnail_JONATAN-PALOMEQUE-FARFAN-retoc.jpg,Jonatan Palomeque Farfán,Agencia Córdoba Joven,https://www.cba.gov.ar/reparticion/agencia-cordoba-joven/
Directora General de Administración y Legales,Directora,"[{'url': 'https://www.cba.gov.ar/wp-content/uploads/2019/03/elena.png', 'path': 'full/72b0ace7af202bf6a5b7e4b50d960b7227b80daf.jpg', 'checksum': '27a4ffe449f50fe19ba57351b50fc67a'}]",https://www.cba.gov.ar/wp-content/uploads/2019/03/elena.png,Elena Noemí Maule,Agencia Córdoba Joven,https://www.cba.gov.ar/reparticion/agencia-cordoba-joven/
Vocal Agencia Córdoba Deportes,Vocal,"[{'url': 'https://www.cba.gov.ar/wp-content/uploads/2019/05/CALLERI-8.png', 'path': 'full/e2f9c3a0edba769c9f69151d3861682977ec2fc6.jpg', 'checksum': 'a45a895b288b9d9656dd1f5d0d0072bf'}]",https://www.cba.gov.ar/wp-content/uploads/2019/05/CALLERI-8.png,Agustín Santiago Calleri,Agencia Córdoba Deportes,https://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/
Vocal Agencia Córdoba Deportes,Vocal,"[{'url': 'https://www.cba.gov.ar/wp-content/uploads/2019/02/ramadan-web.jpg', 'path': 'full/8545a084d6c0cfd3c08dfafed0f7f1d68278ad65.jpg', 'checksum': 'dfcde8b36129b15930fef1ae460f60e3'}]",https://www.cba.gov.ar/wp-content/uploads/2019/02/ramadan-web.jpg,Amira Ramadán,Agencia Córdoba Deportes,https://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/
Síndico Titular,Síndico,"[{'url': 'https://www.cba.gov.ar/wp-content/uploads/2019/04/mario-lopez-amaya.jpg', 'path': 'full/2eec5f310a74286f42428c144de175ff9e1cc290.jpg', 'checksum': '31faa5908ee80444586db71a25fe70b9'}]",https://www.cba.gov.ar/wp-content/uploads/2019/04/mario-lopez-amaya.jpg,Mario Jorge López Amaya,Agencia Córdoba Deportes,https://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/
Síndico,Síndico,"[{'url': 'https://www.cba.gov.ar/wp-content/uploads/2019/04/alberto-misino.jpg', 'path': 'full/005553948f1943e131490c771414749321bd1309.jpg', 'checksum': '3e04637bf613161b7f19316caea04e25'}]",https://www.cba.gov.ar/wp-content/uploads/2019/04/alberto-misino.jpg,Alberto Misino,Agencia Córdoba Deportes,https://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/
Agencia Córdoba Cultura,Presidente,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/nora-bedano.jpg', 'path': 'full/99a72e2a69d2fa4b1580d0d5a5526b639dabcff0.jpg', 'checksum': '232669f9410a20e6f14f5254d93ebe6f'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/nora-bedano.jpg,Nora Esther Bedano,Agencia Córdoba Cultura,https://www.cba.gov.ar/reparticion/agencia-cordoba-cultura/
Vocal Agencia Córdoba Turismo,Vocal,"[{'url': 'https://www.cba.gov.ar/wp-content/uploads/2019/02/cara.png', 'path': 'full/a77abe13dd1e23e724ebf5b2194c04b03be8f148.jpg', 'checksum': '0a1073fb9ddc7486ef37ec9ede12b9ca'}]",https://www.cba.gov.ar/wp-content/uploads/2019/02/cara.png,Fabricio Sebastián Díaz,Agencia Córdoba Turismo,https://www.cba.gov.ar/reparticion/agencia-cordoba-turismo/
Secretaría de Comunicaciones y Conectividad,Secretario,"[{'url': 'https://www.cba.gov.ar/wp-content/uploads/2019/03/DNBnfdn.png', 'path': 'full/f82701bce55f911b30c863df56a0d5f877e7f723.jpg', 'checksum': 'c7ae3fa2ebbfa7c9cdaae5d03bda8a1e'}]",https://www.cba.gov.ar/wp-content/uploads/2019/03/DNBnfdn.png,Manuel Calvo,Secretaría de Comunicaciones y Conectividad,https://www.cba.gov.ar/reparticion/secretaria-de-comunicaciones-y-conectividad/
Dirección General de Prensa,Director,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/cesar-jaime.jpg', 'path': 'full/6d92b504be75141b76c3e570376a412dce8af228.jpg', 'checksum': '96b6502cbc42fd911c6f93cecb6d22a0'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/cesar-jaime.jpg,César Eduardo Jaimez,Secretaría de Comunicaciones y Conectividad,https://www.cba.gov.ar/reparticion/secretaria-de-comunicaciones-y-conectividad/
Subsecretaría de Contenidos Digitales,Subsecretaria,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2018/02/Soledad.jpg', 'path': 'full/2daaa9eb82720cd2173b5d8650ddfa35f54e1eef.jpg', 'checksum': '703c576c94671280ec39fb3cd05a1310'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2018/02/Soledad.jpg,Soledad Baldacci,Secretaría de Comunicaciones y Conectividad,https://www.cba.gov.ar/reparticion/secretaria-de-comunicaciones-y-conectividad/
Subsecretaría de Telecomunicaciones,Subsecretario,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2018/02/ignacio-gei.jpg', 'path': 'full/1237be8070f7d53705a1987931fda58145625fb4.jpg', 'checksum': '36c202e795dd618824beade61f3bcfe7'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2018/02/ignacio-gei.jpg,Ignacio Gei,Secretaría de Comunicaciones y Conectividad,https://www.cba.gov.ar/reparticion/secretaria-de-comunicaciones-y-conectividad/
Dirección General de Integración y Planeamiento,Director,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2018/03/Manuel-Grahovac.jpg', 'path': 'full/f4e438cf74a10ad4d925a4fe81c9ee72d9b160d6.jpg', 'checksum': '76db5e4c59a3bf26dc29b7826151d7a7'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2018/03/Manuel-Grahovac.jpg,Manuel Grahovac,Secretaría de Comunicaciones y Conectividad,https://www.cba.gov.ar/reparticion/secretaria-de-comunicaciones-y-conectividad/
Dirección General de Operaciones,Director General,"[{'url': 'https://www.cba.gov.ar/wp-content/4p96humuzp/2017/05/Mauricio-Gabriel-Bisaro.png', 'path': 'full/55b3a22cd7846505d68ea90fbbede33c0158fd03.jpg', 'checksum': '612d5ddd6463322f9ae012c2e3303642'}]",https://www.cba.gov.ar/wp-content/4p96humuzp/2017/05/Mauricio-Gabriel-Bisaro.png,Mauricio Gabriel Bisaro,Secretaría de Comunicaciones y Conectividad,https://www.cba.gov.ar/reparticion/secretaria-de-comunicaciones-y-conectividad/
Subsecretaría de Articulación y Control de Gestión,Subsecretario,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2018/02/gabriel-robieri1.jpg', 'path': 'full/ce5cd783f211ce7d2f092856da9eb9594895394b.jpg', 'checksum': '14f27cd3aab6c7c595f0d82cd23a41f4'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2018/02/gabriel-robieri1.jpg,Gabriel Ignacio Roberi,Secretaría de Comunicaciones y Conectividad,https://www.cba.gov.ar/reparticion/secretaria-de-comunicaciones-y-conectividad/
Dirección General de Planeamiento y Relaciones Institucionales,Director,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2018/03/esnaola.jpg', 'path': 'full/aac97008fce602da9dd87b6e95331de75450dc58.jpg', 'checksum': '4cd056f71d3d24bf3673f700dadd8a7a'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2018/03/esnaola.jpg,Manuel Esnaola,Secretaría de Comunicaciones y Conectividad,https://www.cba.gov.ar/reparticion/secretaria-de-comunicaciones-y-conectividad/
