cargo_generico,cargo_ocupado,foto_img,foto_url,funcionario,ministerio,web_url
Ministro de Agricultura y Ganadería,Ministro de Agricultura y Ganadería,"[{'url': 'https://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/Sergio-Busso.png', 'path': 'full/8d8831a5da75a6e430193e21b13c08ad3288024f.jpg', 'checksum': '30c6a6b0d11382e23f13230924a40fac'}]",https://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/Sergio-Busso.png,Sergio Busso,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/
Ministro de Finanzas,Ministro de Finanzas,"[{'url': 'https://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/osvaldo-giordano.jpg', 'path': 'full/4e3336a3d167aa9032fcc57379367a455c66d9fd.jpg', 'checksum': '50aae6818cbef513ae5d7ebcadeb946f'}]",https://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/osvaldo-giordano.jpg,Osvaldo Giordano,Ministro de Finanzas,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/
Ministro de Desarrollo Social,Ministro de Desarrollo Social,"[{'url': 'https://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/tocali.jpg', 'path': 'full/c8062fc2821d8d942d7edc716be151dc44bff4c4.jpg', 'checksum': 'fd2e72c0867116268ae6b79368670115'}]",https://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/tocali.jpg,Sergio Hugo Tocalli,Ministro de Desarrollo Social,http://www.cba.gov.ar/reparticion/ministerio-de-desarrollo-social/
Ministro de Educación,Ministro de Educación,"[{'url': 'https://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/edu_walter_grahovac.jpg', 'path': 'full/d8ff998021c5efdabe32bd744e85d9260936f4b7.jpg', 'checksum': '73b3c3d92456de4c36bbd119101468bd'}]",https://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/edu_walter_grahovac.jpg,Walter Mario Grahovac,Ministro de Educación,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/
Presidente de la Agencia Córdoba Turismo,Presidente de la Agencia Córdoba Turismo,"[{'url': 'https://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/julio-ba%C3%B1uelos.jpg', 'path': 'full/5c94a3c206bd28629f82bbc2d1d796be79d43f7c.jpg', 'checksum': '0a953df3da8f4c94dd1f7a95e4cd14fe'}]",https://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/julio-bañuelos.jpg,Julio Bañuelos,Presidente de la Agencia Córdoba Turismo,http://www.cba.gov.ar/reparticion/agencia-cordoba-turismo/
Presidente de la Agencia Córdoba Joven,Presidente de la Agencia Córdoba Joven,"[{'url': 'https://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/julieta-rinaldi.png', 'path': 'full/44ebefa0dfdd7b20a5dd86f2b14da3af8f46fcf2.jpg', 'checksum': '430fc9b66cf18ae48d4b440ab60ffc89'}]",https://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/julieta-rinaldi.png,Julieta Rinaldi,Presidente de la Agencia Córdoba Joven,http://www.cba.gov.ar/reparticion/agencia-cordoba-joven/
Presidente de la Agencia Córdoba Deportes,Presidente de la Agencia Córdoba Deportes,"[{'url': 'https://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Medardo_Ligorria1.jpg', 'path': 'full/cc25f699a8824b6eb998fd3c9e450486cec97fa9.jpg', 'checksum': 'ab25b3fbeba769f2f89598d4a287aa57'}]",https://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Medardo_Ligorria1.jpg,Medardo Ligorria,Presidente de la Agencia Córdoba Deportes,http://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/
Presidente de la Agencia Córdoba Cultura,Presidente de la Agencia Córdoba Cultura,"[{'url': 'https://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/nora-bedano.jpg', 'path': 'full/a188c56ee461835badc72ab36f0c183f9e8b8165.jpg', 'checksum': '232669f9410a20e6f14f5254d93ebe6f'}]",https://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/nora-bedano.jpg,Nora Esther Bedano,Presidente de la Agencia Córdoba Cultura,http://www.cba.gov.ar/reparticion/agencia-cordoba-cultura/
Ministro de Servicios Públicos,Ministro de Servicios Públicos,"[{'url': 'https://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/Fabi%C3%A1n-L%C3%B3pez.jpg', 'path': 'full/a083b6f2d8d52cedaaddc407e6bf10145aaa7c37.jpg', 'checksum': 'fbb1b555d96085f759a541a7dca1f731'}]",https://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/Fabián-López.jpg,Fabián López,Ministro de Servicios Públicos,http://www.cba.gov.ar/reparticion/ministerio-de-servicios-publicos/
Presidente Agencia ProCórdoba,Presidente Agencia ProCórdoba,"[{'url': 'https://www.cba.gov.ar/wp-content/4p96humuzp/2012/08/marcotegui.jpg', 'path': 'full/7b8a2982e12f1830e0e66d73fd0c577cf63ecd68.jpg', 'checksum': 'afcf3cd69e32d7787144fee8f85dd964'}]",https://www.cba.gov.ar/wp-content/4p96humuzp/2012/08/marcotegui.jpg,Jorge Marcotegui,Presidente Agencia ProCórdoba,http://www.cba.gov.ar/reparticion/agencia-pro-cordoba/
