cargo_generico,cargo_ocupado,foto_img,foto_url,funcionario,ministerio,web_url
Ministro de Justicia y Derechos Humanos,Ministro de Justicia y Derechos Humanos,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/martin-farfan.jpg', 'path': 'full/7a15b65a1aa7a073147775c22e606db5314125aa.jpg', 'checksum': '6d173e3316b81e480135106347a7bfcc'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/martin-farfan.jpg,Juan Martín Farfán,Ministro de Justicia y Derechos Humanos,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/
Ministro de Agricultura y Ganadería,Ministro de Agricultura y Ganadería,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/Sergio-Busso.png', 'path': 'full/41ebd696379113303be53dc68b75773fb0a93d43.jpg', 'checksum': '30c6a6b0d11382e23f13230924a40fac'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/Sergio-Busso.png,Sergio Busso,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/
Presidente de la Agencia Córdoba Joven,Presidente de la Agencia Córdoba Joven,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/julieta-rinaldi.png', 'path': 'full/4fbd29c0cec9e5a8e487783b22b99a31d35c6c97.jpg', 'checksum': '430fc9b66cf18ae48d4b440ab60ffc89'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/julieta-rinaldi.png,Julieta Rinaldi,Presidente de la Agencia Córdoba Joven,http://www.cba.gov.ar/reparticion/agencia-cordoba-joven/
Presidente de la Agencia Córdoba Deportes,Presidente de la Agencia Córdoba Deportes,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Medardo_Ligorria1.jpg', 'path': 'full/80da0b2fb17e8ddf0e14c2c78e8e01079e21bb2e.jpg', 'checksum': 'ab25b3fbeba769f2f89598d4a287aa57'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Medardo_Ligorria1.jpg,Medardo Ligorria,Presidente de la Agencia Córdoba Deportes,http://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/
Presidente de la Agencia Córdoba Cultura,Presidente de la Agencia Córdoba Cultura,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/nora-bedano.jpg', 'path': 'full/99a72e2a69d2fa4b1580d0d5a5526b639dabcff0.jpg', 'checksum': '232669f9410a20e6f14f5254d93ebe6f'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/nora-bedano.jpg,Nora Esther Bedano,Presidente de la Agencia Córdoba Cultura,http://www.cba.gov.ar/reparticion/agencia-cordoba-cultura/
Ministro de Servicios Públicos,Ministro de Servicios Públicos,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/Fabi%C3%A1n-L%C3%B3pez.jpg', 'path': 'full/ff2610be84d38ab5a6084929bcf6a29496da1d79.jpg', 'checksum': 'fbb1b555d96085f759a541a7dca1f731'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/Fabián-López.jpg,Fabián López,Ministro de Servicios Públicos,http://www.cba.gov.ar/reparticion/ministerio-de-servicios-publicos/
Ministro de Salud,Ministro de Salud,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/Francisco-Fortuna.jpg', 'path': 'full/879f490225da141ff8dbee4b7e012842c512e394.jpg', 'checksum': 'c6b6d757bd73dd1ac27b3baee43f3f69'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/Francisco-Fortuna.jpg,Francisco José Fortuna,Ministro de Salud,http://www.cba.gov.ar/reparticion/ministerio-de-salud/
Dirección General Registro Civil y Capacidad de las Personas ,Directora General Registro Civil y Capacidad de las Personas,,,,Ministro de Justicia y Derechos Humanos,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/secretaria-de-justicia-y-derechos-humanos/direccion-general-registro-civil-y-capacidad-de-las-personas-ministerio-de-justicia-y-derechos-humanos/
Unidad Ejecutora para el Saneamiento de Títulos ,Presidente Unidad Ejecutora para el Saneamiento de Títulos,,,Darío Conrado Luna,Ministro de Justicia y Derechos Humanos,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/secretaria-de-justicia-y-derechos-humanos/directorio-unidad-ejecutora-para-el-saneamiento-de-titulos-ministerio-de-justicia-y-derechos-humanos/
Subsecretaría de Derechos Humanos,Subsecretaria de Derechos Humanos,,,Graciela Ayame,Ministro de Justicia y Derechos Humanos,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/secretaria-de-derechos-humanos/subsecretaria-de-derechos-humanos-ministerio-de-justicia-y-derechos-humanos/
