cargo_generico,cargo_ocupado,foto_img,foto_url,funcionario,ministerio,web_url
Ministro de Educación,Ministro de Educación,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/edu_walter_grahovac.jpg', 'path': 'full/697004557b71c2f3bb2774d9eef289a25fab6590.jpg', 'checksum': '73b3c3d92456de4c36bbd119101468bd'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/edu_walter_grahovac.jpg,Walter Mario Grahovac,Ministro de Educación,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/
Presidente de la Agencia Córdoba Turismo,Presidente de la Agencia Córdoba Turismo,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/julio-ba%C3%B1uelos.jpg', 'path': 'full/8838a3311c0fe105d8399333ec8627a8a195fdb9.jpg', 'checksum': '0a953df3da8f4c94dd1f7a95e4cd14fe'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/julio-bañuelos.jpg,Julio Bañuelos,Presidente de la Agencia Córdoba Turismo,http://www.cba.gov.ar/reparticion/agencia-cordoba-turismo/
Presidente Agencia ProCórdoba,Presidente Agencia ProCórdoba,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/08/marcotegui.jpg', 'path': 'full/5879b33432e2c5e7dd2a3bfdc6ff47ff8a87550c.jpg', 'checksum': 'afcf3cd69e32d7787144fee8f85dd964'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2012/08/marcotegui.jpg,Jorge Marcotegui,Presidente Agencia ProCórdoba,http://www.cba.gov.ar/reparticion/agencia-pro-cordoba/
Secretaria de Planeamiento y Modernización,Secretaria de Planeamiento y Modernización,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2016/09/alejandra-torres.jpg', 'path': 'full/de07c1efe26e28b0a66839574d56551635e20db7.jpg', 'checksum': '6992497050ac3dc1c3a5e6f0a5cfe4f8'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2016/09/alejandra-torres.jpg,Alejandra Torres,Secretaria de Planeamiento y Modernización,http://www.cba.gov.ar/reparticion/secretaria-de-planeamiento-y-modernizacion/
Secretario de Comunicaciones y Conectividad,Secretario de Comunicaciones y Conectividad,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2018/02/calvo1.png', 'path': 'full/6ced74e42ba8c24418236dafd0efbfc425d71c39.jpg', 'checksum': '2450c6aa475509ea8287786ac57238a2'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2018/02/calvo1.png,Manuel Calvo,Secretario de Comunicaciones y Conectividad,http://www.cba.gov.ar/reparticion/secretaria-de-comunicaciones-y-conectividad/
Secretaria de Equidad y Promoción del Empleo,Secretaria de Equidad y Promoción del Empleo,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/laura-jure.png', 'path': 'full/f527c7f43a47d941d33af4da13135c1df91a8c61.jpg', 'checksum': 'ef84a3e09738161e06cea3b5c31f934c'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/laura-jure.png,Laura Jure,Secretaria de Equidad y Promoción del Empleo,http://www.cba.gov.ar/reparticion/secretaria-de-equidad-y-promocion-del-empleo/
Dirección Control de Gestión y Desarrollo,Director Control  de Gestión y Desarrollo,,,,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/direccion-jurisdiccion-control-de-gestion-y-desarrollo/
Dirección de Administración,Directora de Administración,,,María Soledad Pagán,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/direccion-jurisdiccion-de-administracion/
Dirección de Recursos Humanos,Dirección de Recursos Humanos,,,,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/direccion-jurisdiccion-de-recursos-humanos/
Secretaría de Agricultura,Secretario de Agricultura,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/marcos-blanda.gif', 'path': 'full/075240348cac39858e5f972b117deb6a696bdbfd.jpg', 'checksum': '31bceb44e9d0b514846735427edae9dd'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/marcos-blanda.gif,Marcos Blanda,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/secretaria-de-agricultura/
Secretaría de Ganadería,Secretario de Ganadería,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/Olden-Riberi1.jpg', 'path': 'full/2503d437180147a7ddb7921343d226cd725f5797.jpg', 'checksum': '32065a0a0b436c99cb847aa6b0062cfd'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/Olden-Riberi1.jpg,Olden Martín José Riberi,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/secretaria-de-ganaderia/
Dirección de Producción,Directora de Producción,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2016/07/Liliana-Allasia.jpg', 'path': 'full/63c10ab3a5a2b8138302a294e12b52436d4f25e6.jpg', 'checksum': 'cd494f3ca287e03137acfc51c64a85be'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2016/07/Liliana-Allasia.jpg,Liliana Allasia,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/secretaria-de-ganaderia/direccion-de-produccion/
Dirección de Sanidad,Director de Sanidad,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/11/ALFREDO-CIRO-DIAZ21.jpg', 'path': 'full/c8072b58b36325287d8c1b3f2fe0fbdfc9aaf40c.jpg', 'checksum': '3e5f07b4e4f9e08aa301ef6eca41ade8'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2012/11/ALFREDO-CIRO-DIAZ21.jpg,Alfredo Ciro Díaz,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/secretaria-de-ganaderia/direccion-de-sanidad/
Subsecretaría de Infraestructura Agropecuaria,Subsecretario de Infraestructura Agropecuaria,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2016/07/Edgardo-Bustamante.jpg', 'path': 'full/fe5fc7658dafa1953a1594b97e3df1ba10aba5d2.jpg', 'checksum': '5806fdb667b84ebb4b735aa9c72fe019'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2016/07/Edgardo-Bustamante.jpg,Edgardo Delfor Bustamante,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/subsecretaria-de-infraestructura-agropecuaria/
"Dirección General de Agencias Zonales,","Director General de Agencias Zonales,","[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/Abel-Ponce-list.jpg', 'path': 'full/971f9fee8960c000bcec12e52d89aef2e38748a7.jpg', 'checksum': '6ad96598d16698a212ab5ae66540d698'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/Abel-Ponce-list.jpg,Abel Oscar Ponce,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/direccion-general-de-agencias-zonales/
Dirección de Producción Agropecuaria Familiar,Directora de Producción Agropecuaria Familiar,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2018/04/thumbnail_Mariana-Victoria.jpg', 'path': 'full/818857aeee85495daf175c8caaff8cd705090548.jpg', 'checksum': 'a86058ec8e9c131cc153838ffee2ab00'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2018/04/thumbnail_Mariana-Victoria.jpg,Mariana Victoria,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/direccion-de-produccion-agropecuaria-familiar/
Dirección General de Coordinación Administrativa y Legal,Director General de Coordinación Administrativa y Legal,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2016/07/Armando-Ellena-1.jpg', 'path': 'full/bbcb4a554861c9587d3124d4cfb0b16e1f64f249.jpg', 'checksum': '0d25cd74ff8a4cf2b3a1db756a74cd6e'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2016/07/Armando-Ellena-1.jpg,Armando Ellena,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/direccion-general-de-coordinacion-administrativa-y-legal/
Dirección General de Fiscalización y Control,Director General de Fiscalización y Control,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2016/02/Martin-Gutierrez.jpg', 'path': 'full/51c84691825df2f5a9fdba9fd352e3487b44438f.jpg', 'checksum': '3972bafe5dda7867c47e34f4137ad2ad'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2016/02/Martin-Gutierrez.jpg,Martín Alejandro Gutiérrez,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/direccion-general-de-fiscalizacion-y-control/
Dirección de Asuntos Legales,Directora de Asuntos Legales,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2016/07/Maria-Laura-Marin-dos-1.jpg', 'path': 'full/030bda0ca8b8a04cbd06cc3057811cbd34290a39.jpg', 'checksum': 'd844993987eaad602f34a96573014390'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2016/07/Maria-Laura-Marin-dos-1.jpg,María Laura Marín,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/direccion-jurisdiccion-de-asuntos-legales/
Dirección de Sistemas,Director de Sistemas,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/08/thumbnail_Guillermo-Goloboff.jpg', 'path': 'full/faf761957a1cca6db2d705b16852dbe43d1d3a01.jpg', 'checksum': 'c435d85bd20d26f300e0b6b3e3b7f094'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2012/08/thumbnail_Guillermo-Goloboff.jpg,Guillermo Goloboff,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/direccion-jurisdiccion-de-sistemas/
Dirección General de Administracion y Legales,Director General de Administracion y Legales,,,Elena Noemí Maule,Presidente de la Agencia Córdoba Joven,http://www.cba.gov.ar/reparticion/agencia-cordoba-joven/direccion-general-de-administracion-y-legales/
Vocal Agencia Córdoba Joven,Vocal Agencia Córdoba Joven ,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2016/01/Edgar-Bruno1.jpg', 'path': 'full/837995e64e3de6281aa56f831a7e541f3b64fe51.jpg', 'checksum': '73da731f1acc1a1495a60be6dabe4ff1'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2016/01/Edgar-Bruno1.jpg,Edgar Bruno,Presidente de la Agencia Córdoba Joven,http://www.cba.gov.ar/reparticion/agencia-cordoba-joven/vocal-agencia-cordoba-joven-2/
Vocal Agencia Córdoba Joven ,Vocal Agencia Córdoba Joven,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2016/01/Valeria-Butteler1.jpg', 'path': 'full/fe5b801d3ade8905a25459087b2ab6c46c6eb692.jpg', 'checksum': '021f4fee6f7e8e9fde0206c01f410669'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2016/01/Valeria-Butteler1.jpg,Valeria Butteler,Presidente de la Agencia Córdoba Joven,http://www.cba.gov.ar/reparticion/agencia-cordoba-joven/vocal-agencia-cordoba-joven-4/
Vocal Agencia Córdoba Joven,Vocal Agencia Córdoba Joven,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2016/01/Matias-Anconetani1.jpg', 'path': 'full/fb902ac4888ee92fb45732b64ab6fe1697c1e4c1.jpg', 'checksum': 'f544e0d9eb7aa45b74d34196df994048'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2016/01/Matias-Anconetani1.jpg, Matias Anconetani,Presidente de la Agencia Córdoba Joven,http://www.cba.gov.ar/reparticion/agencia-cordoba-joven/vocal-agencia-cordoba-joven-5/
Vocal Agencia Córdoba Joven,Vocal Agencia Córdoba Joven,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2016/01/thumbnail_LEANDRO-CARPINTERO-retoc.jpg', 'path': 'full/a57b776a1fb9393b3db7800964cfea95b708a0fc.jpg', 'checksum': 'fe0513616827a8e96ff095caad17e532'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2016/01/thumbnail_LEANDRO-CARPINTERO-retoc.jpg,Leandro Martín Carpintero,Presidente de la Agencia Córdoba Joven,http://www.cba.gov.ar/reparticion/agencia-cordoba-joven/vocal-agencia-cordoba-joven-1/
Vocal Agencia Córdoba Joven ,Vocal Agencia Córdoba Joven,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2016/01/Marcelo-Ferro1.jpg', 'path': 'full/0ab943d06a754b18818ec7001fb6d4dac6989849.jpg', 'checksum': '5c642eca62362c83f897857cdd6dc9c5'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2016/01/Marcelo-Ferro1.jpg,Marcelo Ferro,Presidente de la Agencia Córdoba Joven,http://www.cba.gov.ar/reparticion/agencia-cordoba-joven/vocal-agencia-cordoba-joven-6/
Vocal Agencia Córdoba Joven,Vocal Agencia Córdoba Joven,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2016/01/thumbnail_JONATAN-PALOMEQUE-FARFAN-retoc.jpg', 'path': 'full/3655b000dd58f1e22a64e8951083265ffe80cb99.jpg', 'checksum': '0a5ca949df2bacecea2fd2f1575a9bdf'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2016/01/thumbnail_JONATAN-PALOMEQUE-FARFAN-retoc.jpg,Jonatan Palomeque Farfán,Presidente de la Agencia Córdoba Joven,http://www.cba.gov.ar/reparticion/agencia-cordoba-joven/vocal-agencia-cordoba-joven/
Dirección de Promoción y Eventos,Director de Promoción y Eventos,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/07/Luis-Mu%C3%B1oz1.jpg', 'path': 'full/86a668cf61ecbc9e77d60cff787b6fe07fcb125f.jpg', 'checksum': '0b14946928719d6a20ef2eb4dce4f66e'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2012/07/Luis-Muñoz1.jpg,Luis Muñoz,Presidente de la Agencia Córdoba Joven,http://www.cba.gov.ar/reparticion/agencia-cordoba-joven/direccion-de-promocion-y-eventos/
Vocal de Directorio,Vocal,,,Amira Ramadán,Presidente de la Agencia Córdoba Deportes,http://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/vocal-de-directorio-3/
Síndico Titular,Síndico Titular,,,Mario Jorge López Amaya,Presidente de la Agencia Córdoba Deportes,http://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/sindico-titular/
Vocal de Directorio ,Vocal,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Georgina_Bardach1.jpg', 'path': 'full/e5e635f680d6f9e6996ca4c644724f621ae9a4ea.jpg', 'checksum': '8096bdce69cf43ccf472c9673740f880'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Georgina_Bardach1.jpg,Georgina Bardach,Presidente de la Agencia Córdoba Deportes,http://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/vocal-de-directorio-2/
 Vocal de Directorio  ,Vocal,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Silvio_Tranquilli1.jpg', 'path': 'full/99c6a3fa5a6956f5601be32375ec6a3728429e10.jpg', 'checksum': '4a262ff8ad6c05cf264c5439cc71afda'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Silvio_Tranquilli1.jpg,Silvio Tranquilli,Presidente de la Agencia Córdoba Deportes,http://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/vocal-de-directorio-11/
Vocal de Directorio ,Vocal,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Oscar_Dertycia1.jpg', 'path': 'full/5b7519eec0cbcb68890ffd2f95a6c4c912431c5d.jpg', 'checksum': 'd1b6ec2f8e0cb6f41d1c254ee688d9c3'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Oscar_Dertycia1.jpg,Oscar Dertycia,Presidente de la Agencia Córdoba Deportes,http://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/vocal-de-directorio-8/
Vocal de Directorio,Vocal,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Mariano_Reutemann1.jpg', 'path': 'full/f5fb3d9ea329a3ae53aa735d3c970dc845bf05ba.jpg', 'checksum': 'b6d113203a59d454da30d986b9affa9f'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Mariano_Reutemann1.jpg,Mariano Reutemann,Presidente de la Agencia Córdoba Deportes,http://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/vocal-de-directorio-9/
Vocal de Directorio,Vocal,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Jorge_Pratolongo1.jpg', 'path': 'full/9bb6f68986a172a096d92f012df4f4615131b8df.jpg', 'checksum': '25ff5dbfdb5e4ecbe5f73c0614e032a9'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Jorge_Pratolongo1.jpg,Jorge Pratolongo,Presidente de la Agencia Córdoba Deportes,http://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/vocal-de-directorio-5/
 Vocal de Directorio,Vocal,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Juan_Domingo_Viola1.jpg', 'path': 'full/ff0ffd05c26b05dc33f85b8b4b64901146af7ebb.jpg', 'checksum': 'a783de188be6e3589313834382a445d7'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Juan_Domingo_Viola1.jpg,Juan Domingo Viola,Presidente de la Agencia Córdoba Deportes,http://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/vocal-de-directorio-10/
Vocal de Directorio,Vocal,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Jorge_Cattaneo1.jpg', 'path': 'full/b8ad0c9d90c6671ca731700d604291dab3504040.jpg', 'checksum': 'eb2e9b06d565486ebaa29158cbbf3370'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Jorge_Cattaneo1.jpg,Jorge Cattaneo,Presidente de la Agencia Córdoba Deportes,http://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/vocal-de-directorio-4/
Vocal de Directorio,Vocal de Directorio,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2016/02/Mariano_Schiaretti.jpg', 'path': 'full/022d23a7ae1cf6b9ddd43040f55705347733ea42.jpg', 'checksum': '8fec67328e17ad5f0e2e07a2fb471da3'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2016/02/Mariano_Schiaretti.jpg,Mariano Schiaretti,Presidente de la Agencia Córdoba Deportes,http://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/vocal-de-directorio/
Vocal del Directorio de la Agencia Córdoba Cultura,Vocal del Directorio de la Agencia Córdoba Cultura,,,Jorge Álvarez,Presidente de la Agencia Córdoba Cultura,http://www.cba.gov.ar/reparticion/agencia-cordoba-cultura/vocal-1-directorio-cultura/
Vocal del Directorio de la Agencia Córdoba Cultura,Vocal del Directorio de la Agencia Córdoba Cultura,,,Jorge Ricardo Tuschi,Presidente de la Agencia Córdoba Cultura,http://www.cba.gov.ar/reparticion/agencia-cordoba-cultura/vocal-3-directorio-cultura/
Dirección General de Administración,Directora General de Administración,,,Marilina Mirez Boemio,Presidente de la Agencia Córdoba Cultura,http://www.cba.gov.ar/reparticion/agencia-cordoba-cultura/direccion-general-de-administracion/
Vocal del Directorio de la Agencia Córdoba Cultura,Vocal del Directorio de la Agencia Córdoba Cultura,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2014/08/Nora-Cingolani-vocal.jpg', 'path': 'full/ddfaf49f5aee095f63a32a0d1981d20d763d5861.jpg', 'checksum': 'fc290e7699068d80a690acd4c584a2ce'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2014/08/Nora-Cingolani-vocal.jpg,Nora Cingolani,Presidente de la Agencia Córdoba Cultura,http://www.cba.gov.ar/reparticion/agencia-cordoba-cultura/vocal-del-directorio-de-cultura/
Vocal del Directorio de la Agencia Córdoba Cultura,Vocal del Directorio de la Agencia Córdoba Cultura,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2017/12/marcos-bovo.jpg', 'path': 'full/c60570015ca4ceb49874a4e42331c84144ecb685.jpg', 'checksum': '6f9dd200c65d87c4ab8593c2cc270543'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2017/12/marcos-bovo.jpg,Marcos Hernán Bovo,Presidente de la Agencia Córdoba Cultura,http://www.cba.gov.ar/reparticion/agencia-cordoba-cultura/vocal-del-directorio-de-la-agencia-cordoba-cultura/
Dirección General de Conservación de la Biodiversidad y Recursos Naturales,Director General de Conservación de la Biodiversidad y Recursos Naturales,,,Diego Horacio Suárez,"Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/secretaria-de-ambiente-y-cambio-climatico/direccion-general-de-conservacion-de-la-biodiversidad-y-recursos-naturales/
Dirección General de Instrumentos y Políticas de Gestión Ambiental,Directora General de Instrumentos y Políticas de Gestión Ambiental,,,Maria Alejandra Novara ,"Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/secretaria-de-ambiente-y-cambio-climatico/direccion-general-de-instrumentos-y-politicas-de-gestion-ambiental/
Dirección General de Operaciones,Director General de Operaciones,,,Juan Vallejos,"Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/secretaria-de-servicios-publicos/direccion-general-de-operaciones/
Dirección General de Regulación de Servicios Públicos,Director General de Regulación de Servicios Públicos,,,,"Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/secretaria-de-servicios-publicos/direccion-general-de-control-regulacion-de-servicios-publicos/
