cargo_generico,cargo_ocupado,foto_img,foto_url,funcionario,ministerio,web_url
Ministro de Agricultura y Ganadería,Ministro de Agricultura y Ganadería,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/Sergio-Busso.png', 'path': 'full/41ebd696379113303be53dc68b75773fb0a93d43.jpg', 'checksum': '30c6a6b0d11382e23f13230924a40fac'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/Sergio-Busso.png,Sergio Busso,Ministro de Agricultura y Ganadería,http://www.cba.gov.ar/reparticion/ministerio-de-agricultura-y-ganaderia/
Presidente de la Agencia Córdoba Joven,Presidente de la Agencia Córdoba Joven,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/julieta-rinaldi.png', 'path': 'full/4fbd29c0cec9e5a8e487783b22b99a31d35c6c97.jpg', 'checksum': '430fc9b66cf18ae48d4b440ab60ffc89'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/julieta-rinaldi.png,Julieta Rinaldi,Presidente de la Agencia Córdoba Joven,http://www.cba.gov.ar/reparticion/agencia-cordoba-joven/
Presidente de la Agencia Córdoba Deportes,Presidente de la Agencia Córdoba Deportes,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Medardo_Ligorria1.jpg', 'path': 'full/80da0b2fb17e8ddf0e14c2c78e8e01079e21bb2e.jpg', 'checksum': 'ab25b3fbeba769f2f89598d4a287aa57'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Medardo_Ligorria1.jpg,Medardo Ligorria,Presidente de la Agencia Córdoba Deportes,http://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/
Presidente de la Agencia Córdoba Cultura,Presidente de la Agencia Córdoba Cultura,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/nora-bedano.jpg', 'path': 'full/99a72e2a69d2fa4b1580d0d5a5526b639dabcff0.jpg', 'checksum': '232669f9410a20e6f14f5254d93ebe6f'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/nora-bedano.jpg,Nora Esther Bedano,Presidente de la Agencia Córdoba Cultura,http://www.cba.gov.ar/reparticion/agencia-cordoba-cultura/
"Ministro de Agua, Ambiente y Servicios Públicos","Ministro de Agua, Ambiente y Servicios Públicos","[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/Fabi%C3%A1n-L%C3%B3pez.jpg', 'path': 'full/ff2610be84d38ab5a6084929bcf6a29496da1d79.jpg', 'checksum': 'fbb1b555d96085f759a541a7dca1f731'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/Fabián-López.jpg,Fabián López,"Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/
"Ministro de Industria, Comercio y Minería","Ministro de Industria, Comercio y Minería","[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/Roberto-Avalle.jpg', 'path': 'full/fa0ddda319597d0e35d040712b0c44c5136be8d4.jpg', 'checksum': 'f58e152cbb16e8a0efcc2b65b06514bf'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/Roberto-Avalle.jpg,Roberto Avalle,"Ministro de Industria, Comercio y Minería",http://www.cba.gov.ar/reparticion/ministerio-de-industria-comercio-y-mineria/
Ministro de Gobierno,Ministro de Gobierno,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Massei-juan-carlos.jpg', 'path': 'full/a83b8e83b13dd62735863396f3ee3d1ddec5a050.jpg', 'checksum': '7b936b9bbfd492da5ee9685b654bf4e5'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Massei-juan-carlos.jpg,Juan Carlos Massei,Ministro de Gobierno,http://www.cba.gov.ar/reparticion/ministerio-de-gobierno/
Fiscal de Estado,Fiscal de Estado,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/cordobafiscal.jpg', 'path': 'full/d9ab2a83027051f39062d868d966513cc7dfb078.jpg', 'checksum': '422b99bd73af2498b654814e0e2022ed'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/cordobafiscal.jpg,Jorge Córdoba,Fiscal de Estado,http://www.cba.gov.ar/reparticion/fiscalia-de-estado/
Ministro de Finanzas,Ministro de Finanzas,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/osvaldo-giordano.jpg', 'path': 'full/309aa7fd0ab19f5d0b5afb2b59c00623c813357e.jpg', 'checksum': '50aae6818cbef513ae5d7ebcadeb946f'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/osvaldo-giordano.jpg,Osvaldo Giordano,Ministro de Finanzas,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/
Ministro de Desarrollo Social,Ministro de Desarrollo Social,"[{'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/tocali.jpg', 'path': 'full/d8ff8c7c62bc8c7e56279112ef7909baf6a3adb4.jpg', 'checksum': 'fd2e72c0867116268ae6b79368670115'}]",http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/tocali.jpg,Sergio Hugo Tocalli,Ministro de Desarrollo Social,http://www.cba.gov.ar/reparticion/ministerio-de-desarrollo-social/
