cargo_generico,cargo_ocupado,foto_img,foto_url,funcionario,ministerio,web_url
Subdirección de Gestión Administrativa,Subdirección de Gestión Administrativa,"[{'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/RM_662-thumbnail-32x32-70.JPG', 'path': 'thumbnail_32x32/RM_662-thumbnail-32x32-70.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/RM_662-thumbnail-125x125-70.JPG', 'path': 'thumbnail/RM_662-thumbnail-125x125-70.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/RM_662.JPG', 'path': 'original/RM_662.JPG'}]",https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/RM_662.JPG,Beatriz Di Tofino,Sin definir,/funcionarios/persona/beatriz-di-tofino/431
"Dirección de Gestión y Coordinación Laboral ""A""","Dirección de Gestión y Coordinación Laboral ""A""","[{'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/RM_635-thumbnail-32x32-70.JPG', 'path': 'thumbnail_32x32/RM_635-thumbnail-32x32-70.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/RM_635-thumbnail-125x125-70.JPG', 'path': 'thumbnail/RM_635-thumbnail-125x125-70.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/RM_635.JPG', 'path': 'original/RM_635.JPG'}]",https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/RM_635.JPG,Omar Yzet,Sin definir,/funcionarios/persona/omar-yzet/204
Subdirección de Protocolo,Subdirección de Protocolo,"[{'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/FU_531_-_Florencia_Malone-thumbnail-32x32-70.JPG', 'path': 'thumbnail_32x32/FU_531_-_Florencia_Malone-thumbnail-32x32-70.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/FU_531_-_Florencia_Malone-thumbnail-125x125-70.JPG', 'path': 'thumbnail/FU_531_-_Florencia_Malone-thumbnail-125x125-70.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/FU_531_-_Florencia_Malone.JPG', 'path': 'original/FU_531_-_Florencia_Malone.JPG'}]",https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/FU_531_-_Florencia_Malone.JPG,Florencia Malone,Sin definir,/funcionarios/persona/florencia-malone/23
Subdirección de Centro de Participación Comunal Nº 2 - Monseñor Pablo Cabrera,Subdirector de Centro de Participación Comunal Nº 2 - Monseñor Pablo Cabrera,"[{'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/RM_271-thumbnail-32x32-70.JPG', 'path': 'thumbnail_32x32/RM_271-thumbnail-32x32-70.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/RM_271-thumbnail-125x125-70.JPG', 'path': 'thumbnail/RM_271-thumbnail-125x125-70.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/RM_271.JPG', 'path': 'original/RM_271.JPG'}]",https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/RM_271.JPG,José Pereyra,Sin definir,/funcionarios/persona/jose-pereyra/465
Subdirección de Centro de Participación Comunal Nº 4 - Av. Colón,Subdirector de Centro de Participación Comunal Nº 4 - Av. Colón,"[{'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/RM_123-thumbnail-32x32-70.JPG', 'path': 'thumbnail_32x32/RM_123-thumbnail-32x32-70.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/RM_123-thumbnail-125x125-70.JPG', 'path': 'thumbnail/RM_123-thumbnail-125x125-70.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/RM_123.JPG', 'path': 'original/RM_123.JPG'}]",https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/RM_123.JPG,Daniel Bevacqua,Sin definir,/funcionarios/persona/daniel-bevacqua/497
Dirección de Gestión y Coordinación Laboral,Dirección de Gestión y Coordinación Laboral,"[{'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/RM_494_-_Eduardo_Leslie-thumbnail-32x32-70.JPG', 'path': 'thumbnail_32x32/RM_494_-_Eduardo_Leslie-thumbnail-32x32-70.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/RM_494_-_Eduardo_Leslie-thumbnail-125x125-70.JPG', 'path': 'thumbnail/RM_494_-_Eduardo_Leslie-thumbnail-125x125-70.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/RM_494_-_Eduardo_Leslie.JPG', 'path': 'original/RM_494_-_Eduardo_Leslie.JPG'}]",https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/RM_494_-_Eduardo_Leslie.JPG,Eduardo Leslie,Sin definir,/funcionarios/persona/eduardo-leslie/152
Subdireccón de Estación Depuradora de Aguas Residuales,Subdireccón de Estación Depuradora de Aguas Residuales,"[{'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/RustanGabriel-thumbnail-32x32-70.jpg', 'path': 'thumbnail_32x32/RustanGabriel-thumbnail-32x32-70.jpg'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/RustanGabriel-thumbnail-125x125-70.jpg', 'path': 'thumbnail/RustanGabriel-thumbnail-125x125-70.jpg'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/RustanGabriel.jpg', 'path': 'original/RustanGabriel.jpg'}]",https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/RustanGabriel.jpg,Gabriel Rustan,Sin definir,/funcionarios/persona/gabriel-rustan/524
Asesor de Gabinete,Asesor de Gabinete,[],,Miguel Roca,Sin definir,/funcionarios/persona/miguel-roca/383
Subsecretaría de Ambiente,Subsecretario de Ambiente,"[{'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/FU_195_-_Jos%C3%A9_Sebasti%C3%A1n_Roca_Marti-thumbnail-32x32-70.JPG', 'path': 'thumbnail_32x32/FU_195_-_Jos%C3%A9_Sebasti%C3%A1n_Roca_Marti-thumbnail-32x32-70.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/FU_195_-_Jos%C3%A9_Sebasti%C3%A1n_Roca_Marti-thumbnail-125x125-70.JPG', 'path': 'thumbnail/FU_195_-_Jos%C3%A9_Sebasti%C3%A1n_Roca_Marti-thumbnail-125x125-70.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/FU_195_-_Jos%C3%A9_Sebasti%C3%A1n_Roca_Marti.JPG', 'path': 'original/FU_195_-_Jos%C3%A9_Sebasti%C3%A1n_Roca_Marti.JPG'}]",https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/FU_195_-_Jos%C3%A9_Sebasti%C3%A1n_Roca_Marti.JPG,José Sebastián Roca,Sin definir,/funcionarios/persona/jose-sebastian-roca/62
Subdirección de Producción y Gestión Cultural,Subdirección de Producción y Gestión Cultural,"[{'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/FU_252_Silvia_Vera-thumbnail-32x32-70.JPG', 'path': 'thumbnail_32x32/FU_252_Silvia_Vera-thumbnail-32x32-70.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/FU_252_Silvia_Vera-thumbnail-125x125-70.JPG', 'path': 'thumbnail/FU_252_Silvia_Vera-thumbnail-125x125-70.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/FU_252_Silvia_Vera.JPG', 'path': 'original/FU_252_Silvia_Vera.JPG'}]",https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/FU_252_Silvia_Vera.JPG,Silvia Vera,Sin definir,/funcionarios/persona/silvia-vera/461
