cargo_generico,cargo_ocupado,foto_img,foto_url,funcionario,ministerio,web_url
Intendente,Intendente,"[{'url': 'https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/Ramon-Mestre.JPG', 'path': 'original/Ramon-Mestre.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/Ramon-Mestre-thumbnail-32x32-70.JPG', 'path': 'thumbnail_32x32/Ramon-Mestre-thumbnail-32x32-70.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/Ramon-Mestre-thumbnail-125x125-70.JPG', 'path': 'thumbnail/Ramon-Mestre-thumbnail-125x125-70.JPG'}]",https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/Ramon-Mestre.JPG,Ramón J. Mestre,Intendente,/funcionarios/persona/ramon-j-mestre/1
Secretario del Departamento Ejecutivo,"Secretario de Modernización, Comunicación y Desarrollo Estratégico","[{'url': 'https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/Funcionario-Publico-Marcelo-Cossar.png', 'path': 'original/Funcionario-Publico-Marcelo-Cossar.png'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/Funcionario-Publico-Marcelo-Cossar-thumbnail-32x32.png', 'path': 'thumbnail_32x32/Funcionario-Publico-Marcelo-Cossar-thumbnail-32x32.png'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/Funcionario-Publico-Marcelo-Cossar-thumbnail-125x125.png', 'path': 'thumbnail/Funcionario-Publico-Marcelo-Cossar-thumbnail-125x125.png'}]",https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/Funcionario-Publico-Marcelo-Cossar.png,Marcelo Cossar,"Secretario de Modernización, Comunicación y Desarrollo Estratégico",/funcionarios/persona/marcelo-cossar/3
Director,Director de Sistemas de Información e Innovación,"[{'url': 'https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/FU_162.JPG', 'path': 'original/FU_162.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/FU_162-thumbnail-32x32-70.JPG', 'path': 'thumbnail_32x32/FU_162-thumbnail-32x32-70.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/FU_162-thumbnail-125x125-70.JPG', 'path': 'thumbnail/FU_162-thumbnail-125x125-70.JPG'}]",https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/FU_162.JPG,Andrés Vázquez,Director de Sistemas de Información e Innovación,/funcionarios/persona/andres-vazquez/2
Director,Director de Educación Virtual y Contenidos Multimediales,"[{'url': 'https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/FU_588_-_Edgar_Daniel_Borgobello.JPG', 'path': 'original/FU_588_-_Edgar_Daniel_Borgobello.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/FU_588_-_Edgar_Daniel_Borgobello-thumbnail-32x32-70.JPG', 'path': 'thumbnail_32x32/FU_588_-_Edgar_Daniel_Borgobello-thumbnail-32x32-70.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/FU_588_-_Edgar_Daniel_Borgobello-thumbnail-125x125-70.JPG', 'path': 'thumbnail/FU_588_-_Edgar_Daniel_Borgobello-thumbnail-125x125-70.JPG'}]",https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/FU_588_-_Edgar_Daniel_Borgobello.JPG,Edgar Borgobello,Director de Educación Virtual y Contenidos Multimediales,/funcionarios/persona/edgar-borgobello/5
Director General,Director General de Capacitación,"[{'url': 'https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/FU_607_Cristina_Capra.JPG', 'path': 'original/FU_607_Cristina_Capra.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/FU_607_Cristina_Capra-thumbnail-32x32-70.JPG', 'path': 'thumbnail_32x32/FU_607_Cristina_Capra-thumbnail-32x32-70.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/FU_607_Cristina_Capra-thumbnail-125x125-70.JPG', 'path': 'thumbnail/FU_607_Cristina_Capra-thumbnail-125x125-70.JPG'}]",https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/FU_607_Cristina_Capra.JPG,María Capra,Director General de Capacitación,/funcionarios/persona/maria-capra/6
Director General,"UNIDAD CENTRAL DE GESTIÓN Director General de Gestión ""A""","[{'url': 'https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/FU_694_-_Cristina_Giorcelli.JPG', 'path': 'original/FU_694_-_Cristina_Giorcelli.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/FU_694_-_Cristina_Giorcelli-thumbnail-32x32-70.JPG', 'path': 'thumbnail_32x32/FU_694_-_Cristina_Giorcelli-thumbnail-32x32-70.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/FU_694_-_Cristina_Giorcelli-thumbnail-125x125-70.JPG', 'path': 'thumbnail/FU_694_-_Cristina_Giorcelli-thumbnail-125x125-70.JPG'}]",https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/FU_694_-_Cristina_Giorcelli.JPG,Cristina Giorcelli,"UNIDAD CENTRAL DE GESTIÓN Director General de Gestión ""A""",/funcionarios/persona/cristina-giorcelli/7
Director General,"UNIDAD CENTRAL DE GESTIÓN Director General de Gestión ""B""","[{'url': 'https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/Lucas_gastaldi.JPG', 'path': 'original/Lucas_gastaldi.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/Lucas_gastaldi-thumbnail-32x32-70.JPG', 'path': 'thumbnail_32x32/Lucas_gastaldi-thumbnail-32x32-70.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/Lucas_gastaldi-thumbnail-125x125-70.JPG', 'path': 'thumbnail/Lucas_gastaldi-thumbnail-125x125-70.JPG'}]",https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/Lucas_gastaldi.JPG,Lucas Gastaldi,"UNIDAD CENTRAL DE GESTIÓN Director General de Gestión ""B""",/funcionarios/persona/lucas-gastaldi/8
Director General,"UNIDAD CENTRAL DE GESTIÓN Director General de Gestión ""C""","[{'url': 'https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/andres_ferrer_1.JPG', 'path': 'original/andres_ferrer_1.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/andres_ferrer_1-thumbnail-32x32-70.JPG', 'path': 'thumbnail_32x32/andres_ferrer_1-thumbnail-32x32-70.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/andres_ferrer_1-thumbnail-125x125-70.JPG', 'path': 'thumbnail/andres_ferrer_1-thumbnail-125x125-70.JPG'}]",https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/andres_ferrer_1.JPG,Hernán Ferrer,"UNIDAD CENTRAL DE GESTIÓN Director General de Gestión ""C""",/funcionarios/persona/hernan-ferrer/9
Oficial Mayor,Oficialía Mayor Adjunta,"[{'url': 'https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/FU_371_-_Alejandra_Ferrero.JPG', 'path': 'original/FU_371_-_Alejandra_Ferrero.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/FU_371_-_Alejandra_Ferrero-thumbnail-32x32-70.JPG', 'path': 'thumbnail_32x32/FU_371_-_Alejandra_Ferrero-thumbnail-32x32-70.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/FU_371_-_Alejandra_Ferrero-thumbnail-125x125-70.JPG', 'path': 'thumbnail/FU_371_-_Alejandra_Ferrero-thumbnail-125x125-70.JPG'}]",https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/FU_371_-_Alejandra_Ferrero.JPG,Alejandra Ferrero,Oficialía Mayor Adjunta,/funcionarios/persona/alejandra-ferrero/10
Secretario del Departamento Ejecutivo,Secretario Legal y Técnico,"[{'url': 'https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/frosasco.jpg', 'path': 'original/frosasco.jpg'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/frosasco-thumbnail-32x32-70.jpg', 'path': 'thumbnail_32x32/frosasco-thumbnail-32x32-70.jpg'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/frosasco-thumbnail-125x125-70.jpg', 'path': 'thumbnail/frosasco-thumbnail-125x125-70.jpg'}]",https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/frosasco.jpg,Diego Frossasco,Secretario Legal y Técnico,/funcionarios/persona/diego-frossasco/11
Subdirector,Subdirección de Turismo,"[{'url': 'https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/FU_635_-_Belen_Urquizas.JPG', 'path': 'original/FU_635_-_Belen_Urquizas.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/FU_635_-_Belen_Urquizas-thumbnail-32x32-70.JPG', 'path': 'thumbnail_32x32/FU_635_-_Belen_Urquizas-thumbnail-32x32-70.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/FU_635_-_Belen_Urquizas-thumbnail-125x125-70.JPG', 'path': 'thumbnail/FU_635_-_Belen_Urquizas-thumbnail-125x125-70.JPG'}]",https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/FU_635_-_Belen_Urquizas.JPG,Maria Urquiza,Subdirección de Turismo,/funcionarios/persona/maria-urquiza/12
Director,Dirección de Turismo,"[{'url': 'https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/FU_397_-_Sebastian_Valenti_lwRqNU7.JPG', 'path': 'original/FU_397_-_Sebastian_Valenti_lwRqNU7.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/FU_397_-_Sebastian_Valenti_lwRqNU7-thumbnail-32x32-70.JPG', 'path': 'thumbnail_32x32/FU_397_-_Sebastian_Valenti_lwRqNU7-thumbnail-32x32-70.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/FU_397_-_Sebastian_Valenti_lwRqNU7-thumbnail-125x125-70.JPG', 'path': 'thumbnail/FU_397_-_Sebastian_Valenti_lwRqNU7-thumbnail-125x125-70.JPG'}]",https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/FU_397_-_Sebastian_Valenti_lwRqNU7.JPG,Sebastián Valenti,Dirección de Turismo,/funcionarios/persona/sebastian-valenti/13
Director,Dirección de Ceremonial y Protocolo,"[{'url': 'https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/RN_069_-_Jose_Petrini.JPG', 'path': 'original/RN_069_-_Jose_Petrini.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/RN_069_-_Jose_Petrini-thumbnail-32x32-70.JPG', 'path': 'thumbnail_32x32/RN_069_-_Jose_Petrini-thumbnail-32x32-70.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/RN_069_-_Jose_Petrini-thumbnail-125x125-70.JPG', 'path': 'thumbnail/RN_069_-_Jose_Petrini-thumbnail-125x125-70.JPG'}]",https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/RN_069_-_Jose_Petrini.JPG,José Petrini,Dirección de Ceremonial y Protocolo,/funcionarios/persona/jose-petrini/16
Secretario del Departamento Ejecutivo,Secretario Privado,"[{'url': 'https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/Mariano_Font.jpg', 'path': 'original/Mariano_Font.jpg'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/Mariano_Font-thumbnail-32x32-70.jpg', 'path': 'thumbnail_32x32/Mariano_Font-thumbnail-32x32-70.jpg'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/Mariano_Font-thumbnail-125x125-70.jpg', 'path': 'thumbnail/Mariano_Font-thumbnail-125x125-70.jpg'}]",https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/Mariano_Font.jpg,Mariano Font,Secretario Privado,/funcionarios/persona/mariano-font/17
Administrador general del Tribunal de Faltas,Administrador General de la Justicia administrativa municipal de faltas,"[{'url': 'https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/RN_078_-_Ramon_Ortega.JPG', 'path': 'original/RN_078_-_Ramon_Ortega.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/RN_078_-_Ramon_Ortega-thumbnail-32x32-70.JPG', 'path': 'thumbnail_32x32/RN_078_-_Ramon_Ortega-thumbnail-32x32-70.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/RN_078_-_Ramon_Ortega-thumbnail-125x125-70.JPG', 'path': 'thumbnail/RN_078_-_Ramon_Ortega-thumbnail-125x125-70.JPG'}]",https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/RN_078_-_Ramon_Ortega.JPG,Ramón Ortega,Administrador General de la Justicia administrativa municipal de faltas,/funcionarios/persona/ramon-ortega/18
Director,Dirección de Asuntos Legales,"[{'url': 'https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/RN_080_Ivana_Picardo.JPG', 'path': 'original/RN_080_Ivana_Picardo.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/RN_080_Ivana_Picardo-thumbnail-32x32-70.JPG', 'path': 'thumbnail_32x32/RN_080_Ivana_Picardo-thumbnail-32x32-70.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/RN_080_Ivana_Picardo-thumbnail-125x125-70.JPG', 'path': 'thumbnail/RN_080_Ivana_Picardo-thumbnail-125x125-70.JPG'}]",https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/RN_080_Ivana_Picardo.JPG,Ivana Piccardo,Dirección de Asuntos Legales,/funcionarios/persona/ivana-piccardo/20
Subasesor letrado,Subasesoría Letrada,"[{'url': 'https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/RN_089_-_Alfredo_Sapp.JPG', 'path': 'original/RN_089_-_Alfredo_Sapp.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/RN_089_-_Alfredo_Sapp-thumbnail-32x32-70.JPG', 'path': 'thumbnail_32x32/RN_089_-_Alfredo_Sapp-thumbnail-32x32-70.JPG'}, {'url': 'https://gobiernoabierto.cordoba.gob.ar/media/__sized__/imagenes/personas/RN_089_-_Alfredo_Sapp-thumbnail-125x125-70.JPG', 'path': 'thumbnail/RN_089_-_Alfredo_Sapp-thumbnail-125x125-70.JPG'}]",https://gobiernoabierto.cordoba.gob.ar/media/imagenes/personas/RN_089_-_Alfredo_Sapp.JPG,Alfredo Sapp,Subasesoría Letrada,/funcionarios/persona/alfredo-sapp/21
