funcionario,cargo,ministerio,url,foto
Guillermo Mariano Iros,Coordinador del Instituto de Planificación Metropolitana,"Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/instituto-de-planificacion-metropolitana-iplam/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/guillermo-iros.jpg
,Director de Gestión Institucional,"Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/instituto-de-planificacion-metropolitana-iplam/direccion-de-gestion-institucional/,
,Director de Planificación,"Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/instituto-de-planificacion-metropolitana-iplam/direccion-de-planificacion/,
José Ignacio Torno,Director General de Asuntos Legales,"Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/dir-gral-de-asuntos-legales-ministerio-de-agua-ambiente-y-energia/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/José-Torno1.jpg
Gabriel Antonio Testagrossa,Subsecretario de Control y Administración,"Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/subsecretaria-de-control-y-administracion/,http://www.cba.gov.ar/wp-content/4p96humuzp/2016/02/Gabriel-Testagrossa.jpg
Patricio Terrera Woodward,Director General de Administración,"Ministro de Agua, Ambiente y Servicios Públicos",http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/subsecretaria-de-control-y-administracion/dir-gral-administracion-min-agua-ambiente-y-energia/,
Roque Martín Spidalieri,Secretario de Financiamiento,Ministro de Obras Públicas y Financiamiento,http://www.cba.gov.ar/reparticion/ministerio-de-obras-pubicas-y-financiamiento/secretaria-de-financiamiento/,http://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/roque-spedallieri.png
,Subsecretario de Vivienda,Ministro de Obras Públicas y Financiamiento,http://www.cba.gov.ar/reparticion/ministerio-de-obras-pubicas-y-financiamiento/secretaria-de-vivienda/,
Facundo Chacón,Dirección General de Vivienda,Ministro de Obras Públicas y Financiamiento,http://www.cba.gov.ar/reparticion/ministerio-de-obras-pubicas-y-financiamiento/secretaria-de-vivienda/dir-gral-de-vivienda/,
Daniel Eduardo Rey,Secretario de Arquitectura,Ministro de Obras Públicas y Financiamiento,http://www.cba.gov.ar/reparticion/ministerio-de-obras-pubicas-y-financiamiento/secretaria-de-arquitectura/,http://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/Daniel-Eduardo-Rey-Secret.jpg
Jose Maiocco,Director General de Obras,Ministro de Obras Públicas y Financiamiento,http://www.cba.gov.ar/reparticion/ministerio-de-obras-pubicas-y-financiamiento/secretaria-de-arquitectura/dir-gral-de-obras/,
Jose Luis Ferrero,Director General de Proyectos,Ministro de Obras Públicas y Financiamiento,http://www.cba.gov.ar/reparticion/ministerio-de-obras-pubicas-y-financiamiento/secretaria-de-arquitectura/dir-gral-de-arquitectura/,
Omar Clemente Soldano,Subsecretario de Administración,Ministro de Obras Públicas y Financiamiento,http://www.cba.gov.ar/reparticion/ministerio-de-obras-pubicas-y-financiamiento/subsecretaria-de-administracion/,http://www.cba.gov.ar/wp-content/4p96humuzp/2016/03/Omar-Clemente-Soldano-Subsecretario-de-Administracion1.jpg
María Soledad Usín,Directora General de Administración,Ministro de Obras Públicas y Financiamiento,http://www.cba.gov.ar/reparticion/ministerio-de-obras-pubicas-y-financiamiento/subsecretaria-de-administracion/dir-gral-de-administracion/,
 Osvaldo Rubén Vottero,Presidente de la Dirección Provincial de Vialidad,Ministro de Obras Públicas y Financiamiento,http://www.cba.gov.ar/reparticion/ministerio-de-obras-pubicas-y-financiamiento/dir-provincial-de-vialidad/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/Osvaldo-Ruben-Vottero-Presidente-Vialidad-Provincial1.jpg
Leandro Álvaro García,Director General de Coordinación de Obras Públicas,Ministro de Obras Públicas y Financiamiento,http://www.cba.gov.ar/reparticion/ministerio-de-obras-pubicas-y-financiamiento/dir-gral-de-coordinacion-de-obras-publicas/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/Leandro-Álvaro-García-Director-General-de-Coordinación-de-Obras-Públicas1.jpg
 Liliana G. Padró,Directora General de Asuntos Legales,Ministro de Obras Públicas y Financiamiento,http://www.cba.gov.ar/reparticion/ministerio-de-obras-pubicas-y-financiamiento/dir-general-de-asuntos-legales/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/doctora-padro1.jpg
Pablo Javier De Chiara,Secretario de Industria,"Ministro de Industria, Comercio y Minería",http://www.cba.gov.ar/reparticion/ministerio-de-industria-comercio-y-mineria/secretaria-de-industria/,http://www.cba.gov.ar/wp-content/4p96humuzp/2014/02/secretario-de-industria-Pablo-De-Chiara.jpg
Federico Ezequiel Priotti,Director General de Control de la Industria Alimenticia,"Ministro de Industria, Comercio y Minería",http://www.cba.gov.ar/reparticion/ministerio-de-industria-comercio-y-mineria/secretaria-de-industria/direccion-general-de-control-de-la-industria-alimenticia/,http://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/Federico-Priotti.jpg
Víctor Roberto Lutri,Secretario de Comercio,"Ministro de Industria, Comercio y Minería",http://www.cba.gov.ar/reparticion/ministerio-de-industria-comercio-y-mineria/secretaria-de-comercio/,http://www.cba.gov.ar/wp-content/4p96humuzp/2014/02/secretario-de-comercio-Victor-Lutri.jpg
,Director de Defensa del Consumidor y Lealtad Comercial,"Ministro de Industria, Comercio y Minería",http://www.cba.gov.ar/reparticion/ministerio-de-industria-comercio-y-mineria/secretaria-de-comercio/direccion-de-defensa-del-consumidor-y-lealtad-comercial/,
Aldo Antonio Bonalumi,Secretario de Minería,"Ministro de Industria, Comercio y Minería",http://www.cba.gov.ar/reparticion/ministerio-de-industria-comercio-y-mineria/secretaria-de-mineria/,http://www.cba.gov.ar/wp-content/4p96humuzp/2014/02/Secretaria-de-Mineria-Aldo-Bonalumi.jpg
Hugo Bonansea,Secretario de Promoción de Inversiones,"Ministro de Industria, Comercio y Minería",http://www.cba.gov.ar/reparticion/ministerio-de-industria-comercio-y-mineria/secretaria-de-promocion-de-inversiones/,http://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/hugo-bonansea.jpg
Tomás Agustín Grunhaut,Subsecretario de Pequeña y Mediana Empresa,"Ministro de Industria, Comercio y Minería",http://www.cba.gov.ar/reparticion/ministerio-de-industria-comercio-y-mineria/subsecretaria-de-pequena-y-mediana-empresa/,http://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/Tomás-Grunhaut.jpg
Abraham Galo,Subsecretario de Cooperativas y Mutuales,"Ministro de Industria, Comercio y Minería",http://www.cba.gov.ar/reparticion/ministerio-de-industria-comercio-y-mineria/subsecretaria-de-cooperativas-y-mutuales/,http://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/Abraham-Galo.jpg
Ramiro Oscar Herrera,Subsecretario de Administración y Asuntos Legales,"Ministro de Industria, Comercio y Minería",http://www.cba.gov.ar/reparticion/ministerio-de-industria-comercio-y-mineria/subsecretaria-de-administracion-y-asuntos-legales/,
Alfonso Mosquera,Secretario de Seguridad,Ministro de Gobierno,http://www.cba.gov.ar/reparticion/ministerio-de-gobierno/secretaria-de-seguridad-2/,
Lucas Sebastián Mezzano,Director General de Planificación Estratégica de Seguridad,Ministro de Gobierno,http://www.cba.gov.ar/reparticion/ministerio-de-gobierno/secretaria-de-seguridad-2/direccion-general-de-planificacion-estrategica-de-seguridad/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/07/lucasmezzano1.jpg
Miguel Siciliano,Secretario de Asuntos Institucionales,Ministro de Gobierno,http://www.cba.gov.ar/reparticion/ministerio-de-gobierno/secretaria-de-asuntos-institucionales/,http://www.cba.gov.ar/wp-content/4p96humuzp/2017/12/miguel-siciliano.jpg
Juan Carlos Scotto,Secretario de Asuntos Municipales e Institucionales,Ministro de Gobierno,http://www.cba.gov.ar/reparticion/ministerio-de-gobierno/secretaria-de-asuntos-municipales/,http://www.cba.gov.ar/wp-content/4p96humuzp/2013/12/juan-carlos-scotto1.jpg
Américo Javier Romero Camaño,Director General de Culto y Relaciones Institucionales,Ministro de Gobierno,http://www.cba.gov.ar/reparticion/ministerio-de-gobierno/secretaria-de-asuntos-municipales/direccion-general-de-culto-y-relaciones-institucionales/,
Claudio Severino Vignetta,Secretario de Gestión de Riesgo Climático y Catástrofes,Ministro de Gobierno,http://www.cba.gov.ar/reparticion/ministerio-de-gobierno/secretaria-de-gestion-de-riesgo-climatico-y-catastrofes/,http://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/Claudio-Vignetta.jpg
,Seguridad Náutica,Ministro de Gobierno,http://www.cba.gov.ar/reparticion/ministerio-de-gobierno/secretaria-de-gestion-de-riesgo-climatico-y-catastrofes/direccion-general-de-seguridad-nautica/,
,Secretario de Seguridad Ciudadana,Ministro de Gobierno,http://www.cba.gov.ar/reparticion/ministerio-de-gobierno/secretaria-de-seguridad/,
Rody Wilson Guerreiro,Presidente del Consejo de Seguridad Deportiva Provincial,Ministro de Gobierno,http://www.cba.gov.ar/reparticion/ministerio-de-gobierno/secretaria-de-seguridad/presidente-del-consejo-de-seguridad-deportiva-provincial/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/rody-guerreiro.jpg
Carlos Tomás Alesandri,Secretario de Integración Regional y Relaciones Internacionales,Ministro de Gobierno,http://www.cba.gov.ar/reparticion/ministerio-de-gobierno/secretaria-de-integracion-regional-y-relaciones-internacionales/,http://www.cba.gov.ar/wp-content/4p96humuzp/2016/02/carlos-alesandri.jpg
Oscar Arias,Secretario de Desarrollo de Políticas Comunitarias,Ministro de Gobierno,http://www.cba.gov.ar/reparticion/ministerio-de-gobierno/secretaria-de-desarrollo-de-politicas-comunitarias/,http://www.cba.gov.ar/wp-content/4p96humuzp/2017/02/arias.jpg
Daniel Alejandro Pastorino,Subsecretario de Tecnología de Información y Comunicaciones,Ministro de Gobierno,http://www.cba.gov.ar/reparticion/ministerio-de-gobierno/subsecretaria-de-tecnologia-de-informacion-y-comunicaciones/,http://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/pastorino-TIC1.jpg
Sebastián Roberto Serrano,Subsecretario de Gestión Administrativa,Ministro de Gobierno,http://www.cba.gov.ar/reparticion/ministerio-de-gobierno/subsecretaria-de-gestion-administrativa/,http://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/serrano-secretario-gestion-administrativa1.jpg
Graciela Avellaneda,Directora General de Administración,Ministro de Gobierno,http://www.cba.gov.ar/reparticion/ministerio-de-gobierno/subsecretaria-de-gestion-administrativa/dir-gral-de-administracion/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Avellaneda.jpg
Ana María Becerra,Presidente del Tribunal de Conducta Policial y Penitenciario,Ministro de Gobierno,http://www.cba.gov.ar/reparticion/ministerio-de-gobierno/tribunal-de-conducta-policial/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/anaBECERRA200x150.jpg
Miguel Angel Rizzotti,Director General de Prevención de Accidentes de Tránsito,Ministro de Gobierno,http://www.cba.gov.ar/reparticion/ministerio-de-gobierno/direccion-general-de-prevencion-de-accidentes-de-transito/,
Gustavo Vélez,Jefe de Policía,Ministro de Gobierno,http://www.cba.gov.ar/reparticion/ministerio-de-gobierno/policia-de-la-provincia/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/jefe-de-policia-velez.jpg
Gerardo García,Fiscal Adjunto,Fiscal de Estado,http://www.cba.gov.ar/reparticion/fiscalia-de-estado/fiscalia-de-estado-adjunto-2/,http://www.cba.gov.ar/wp-content/4p96humuzp/2014/05/gerardo-garcia.jpg
María Soledad Gutíerrez,Fiscal Adjunta,Fiscal de Estado,http://www.cba.gov.ar/reparticion/fiscalia-de-estado/fiscalia-de-estado-adjunto/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/gutierrez.jpg
Ferrero Horacio,Secretario Relator,Fiscal de Estado,http://www.cba.gov.ar/reparticion/fiscalia-de-estado/fiscalia-de-estado-adjunto/secretario-relator/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/horacioferrero3.jpg
Diego Sebastián Llamas Barud,Secretario Relator,Fiscal de Estado,http://www.cba.gov.ar/reparticion/fiscalia-de-estado/fiscalia-de-estado-adjunto/secretario-relator-2/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/Llamas-Barud.jpg
María Eugenia Heredia,Secretaria Relator,Fiscal de Estado,http://www.cba.gov.ar/reparticion/fiscalia-de-estado/fiscalia-de-estado-adjunto/secretario-relator-3/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/María-Eugenia-Heredia1.jpg
Pablo Juan María Reyna,Procurador del Tesoro,Fiscal de Estado,http://www.cba.gov.ar/reparticion/fiscalia-de-estado/procuracion-del-tesoro/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/reyna.jpg
Leticia Valeria Aguirre,Director General Asuntos Judiciales,Fiscal de Estado,http://www.cba.gov.ar/reparticion/fiscalia-de-estado/procuracion-del-tesoro/dir-gral-asuntos-judiciales/,
Mariana Beatriz Miseta,Director General de Asuntos Judiciales del Interior,Fiscal de Estado,http://www.cba.gov.ar/reparticion/fiscalia-de-estado/procuracion-del-tesoro/direccion-general-de-asuntos-judiciales-del-interio/,
Carola Camps,Subsecretaria de Coordinación,Fiscal de Estado,http://www.cba.gov.ar/reparticion/fiscalia-de-estado/subsecretaria-de-coordinacion/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/carolacamps2.jpg
Fernando Pesci,Subsecretario Legal y Técnica,Fiscal de Estado,http://www.cba.gov.ar/reparticion/fiscalia-de-estado/subsecretaria-legal-y-tecnica/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/pesci.jpg
Eduardo Octavio Figueroa,Director General de Despacho,Fiscal de Estado,http://www.cba.gov.ar/reparticion/fiscalia-de-estado/subsecretaria-legal-y-tecnica/direccion-general-de-despacho/,
María Amelia Assaad,Escribana General de Gobierno,Fiscal de Estado,http://www.cba.gov.ar/reparticion/fiscalia-de-estado/escribania-general-de-gobierno/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/maria-amelia-assaad.jpg
Julia Olga Núñez,Escribana Sustituta de Gobierno,Fiscal de Estado,http://www.cba.gov.ar/reparticion/fiscalia-de-estado/escribania-general-de-gobierno/escribania-sustituta/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/Julia-Olga.jpg
Gerardo García,Director de la Escuela de Abogados del Estado (ad honorem),Fiscal de Estado,http://www.cba.gov.ar/reparticion/fiscalia-de-estado/direccion-de-escuela-de-abogados-del-estado/,http://www.cba.gov.ar/wp-content/4p96humuzp/2014/05/gerardo-garcia.jpg
Mónica Silvia Zornberg,Secretaria de Administración Financiera,Ministro de Finanzas,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/secretaria-de-administracion-financiera/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/monica-silvia-zornberg.jpg
Daniela Yanina Rodolfi Tuzinkevicz,Contadora General de la Provincia,Ministro de Finanzas,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/secretaria-de-administracion-financiera/contaduria-gral-de-la-provincia/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/daniela-rodolfi-tuzinkevic.jpg
María Gimena Domenella,Directora General de Compras y Contrataciones,Ministro de Finanzas,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/secretaria-de-administracion-financiera/direccion-general-de-compras-y-contrataciones/,http://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/maria-gimena-domenella.jpg
Elida Cristina Ruiz,Directora General de Presupuesto e Inversiones Públicas,Ministro de Finanzas,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/secretaria-de-administracion-financiera/dir-gral-presupuesto-e-inversiones-publicas/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/cristina-ruiz.jpg
Armando Guillermo García,Director General Tesorería General y Crédito Público,Ministro de Finanzas,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/secretaria-de-administracion-financiera/dir-gral-tesoreria-general-y-credito-publico/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/armando-guillermo-garcia.jpg
Franco Carlos Boneu,Secretario de Innovación y Modernización,Ministro de Finanzas,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/secretaria-de-innovacion-y-modernizacion/,http://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/franco-carlos-boneu.jpg
Daniel Alejandro Gómez,Subsecretario de Tecnologías de la Información,Ministro de Finanzas,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/secretaria-de-innovacion-y-modernizacion/subsecretaria-de-tecnologias-informaticas-y-telecomunicaciones/,
Mariano Martín Méndez,Secretario Legal y Técnica y de Previsión Social,Ministro de Finanzas,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/secretaria-legal-y-tecnica-y-de-prevision-social/,http://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/Mariano-Mendez-Presidencia-Caja.png
Micaela Vanesa Speranza Bejas,Directora General de Coordinación Operativa,Ministro de Finanzas,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/secretaria-legal-y-tecnica-y-de-prevision-social/direccion-general-de-coordinacion-operativa/,http://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/micaela-vanesa-speranza.jpg
Verónica Gabriela Sanz,Directora General de Inspección de Personas Jurídicas,Ministro de Finanzas,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/secretaria-legal-y-tecnica-y-de-prevision-social/direccion-general-de-sociedades-juridicas-ministerio-de-justicia-y-derechos-humanos/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/veronica-sanz.png
María Laura García,Subsecretaria de Estudios Económicos,Ministro de Finanzas,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/secretaria-legal-y-tecnica-y-de-prevision-social/subsecretaria-de-estudios-economicos/,http://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/maria-laura-garcia.jpg
Heber Farfán,Secretario de Ingresos Públicos,Ministro de Finanzas,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/secretaria-de-ingresos-publicos/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/heber-farfan.jpg
Sebastián Perlati,Dirección de Asesoría Fiscal,Ministro de Finanzas,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/secretaria-de-ingresos-publicos/dir-gral-de-asesoria-fiscal/,
Mónica Alejandra Farfán,Directora del Registro General de la Provincia,Ministro de Finanzas,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/secretaria-de-ingresos-publicos/dir-gral-del-registro-gral-de-la-provincia/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/monica-alejandra-farfan.jpg
Gustavo Marcelo García,Director General de Catastro,Ministro de Finanzas,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/secretaria-de-ingresos-publicos/dir-gral-de-catastro/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/gustavo-marcelo-garcia.jpg
Heber Farfán (A cargo),Director General de Rentas ,Ministro de Finanzas,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/secretaria-de-ingresos-publicos/dir-gral-de-rentas/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/heber-farfan.jpg
Adrián Alberto Daniele,Fiscalía Tributaria Adjunta ,Ministro de Finanzas,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/secretaria-de-ingresos-publicos/fiscalia-tributaria-adjunta/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/adrian-alberto-daniele.jpg
Adolfo Bringas,Director de Policía Fiscal,Ministro de Finanzas,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/secretaria-de-ingresos-publicos/direccion-de-policia-fiscal/,
,Presidente del Consejo Provincial de Planificación Estratégica (COPEC),Ministro de Finanzas,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/consejo-provincial-de-planificacion-estrategica-copec/,
Deborah Petrakovsky,Secretaria de Coordinación y Acción Social,Ministro de Desarrollo Social,http://www.cba.gov.ar/reparticion/ministerio-de-desarrollo-social/secretaria-de-coordinacion-y-accion-social/,http://www.cba.gov.ar/wp-content/4p96humuzp/2017/02/Debora.jpg
Julieta Aquino,Subsecretaria de Programas Sociales,Ministro de Desarrollo Social,http://www.cba.gov.ar/reparticion/ministerio-de-desarrollo-social/secretaria-de-coordinacion-y-accion-social/subsecretaria-de-programas-sociales/,http://www.cba.gov.ar/wp-content/4p96humuzp/2018/03/Aquino.jpg
Ramón Bernabey,Subsecretario de Programas Regionales,Ministro de Desarrollo Social,http://www.cba.gov.ar/reparticion/ministerio-de-desarrollo-social/secretaria-de-coordinacion-y-accion-social/subsecretaria-de-programas-regionales/,
José Miguel Angulo Bocco,Director General de Habitat ,Ministro de Desarrollo Social,http://www.cba.gov.ar/reparticion/ministerio-de-desarrollo-social/secretaria-de-coordinacion-y-accion-social/direccion-general-de-habitat-social/,http://www.cba.gov.ar/wp-content/4p96humuzp/2016/01/Angulo-foto-nueva.jpg
Olga Beatriz Ghione,Directora General de Programas Especiales,Ministro de Desarrollo Social,http://www.cba.gov.ar/reparticion/ministerio-de-desarrollo-social/secretaria-de-coordinacion-y-accion-social/direccion-general-de-programas-especiales/,http://www.cba.gov.ar/wp-content/4p96humuzp/2016/01/Ghione.jpg
Raúl La Cava,Secretario de Políticas Sociales,Ministro de Desarrollo Social,http://www.cba.gov.ar/reparticion/ministerio-de-desarrollo-social/secretaria-de-politicas-sociales/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/la_cava.jpg
Eduardo Serrano,Director General de Emergencias Sociales,Ministro de Desarrollo Social,http://www.cba.gov.ar/reparticion/ministerio-de-desarrollo-social/secretaria-de-politicas-sociales/dir-gral-de-emergencias-sociales/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/Serreno.jpg
Patricia Mojica,Secretaria de Políticas para Personas Mayores,Ministro de Desarrollo Social,http://www.cba.gov.ar/reparticion/ministerio-de-desarrollo-social/secretaria-de-politicas-para-personas-mayores/,http://www.cba.gov.ar/wp-content/4p96humuzp/2016/01/Olga-Ghione.jpg
Sergio Cornejo,Subsecretario de Inclusión Social,Ministro de Desarrollo Social,http://www.cba.gov.ar/reparticion/ministerio-de-desarrollo-social/secretaria-de-inclusion-social/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/cornejo.jpg
Nélida Orioli,Directora General de Adultos Mayores,Ministro de Desarrollo Social,http://www.cba.gov.ar/reparticion/ministerio-de-desarrollo-social/secretaria-de-inclusion-social/direccion-general-de-adultos-mayores/,http://www.cba.gov.ar/wp-content/4p96humuzp/2016/01/Orioli.jpg
 Alejandro Mario Francesconi,Subsecretaria de Administración y Recursos Humanos,Ministro de Desarrollo Social,http://www.cba.gov.ar/reparticion/ministerio-de-desarrollo-social/subsecretaria-de-administracion-y-recursos-humanos/,
Sebastián Pablo Cornaglia,Director General de Asuntos Legales,Ministro de Desarrollo Social,http://www.cba.gov.ar/reparticion/ministerio-de-desarrollo-social/subsecretaria-de-administracion-y-recursos-humanos/dir-gral-de-asuntos-legales/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/05/cornaglia-foto-nuevo.jpg
Esther Galina,Secretaria de Gestión en Ciencia y Tecnología,Ministro de Ciencia y Tecnología,http://www.cba.gov.ar/reparticion/ministerio-de-ciencia-y-tecnologia/secretaria-de-gestion-en-ciencia-y-tecnologia/,
Alberto Francisco Daghero,"Secretario de Políticas y Estrategias en Ciencias, Tecnología y Sociedad",Ministro de Ciencia y Tecnología,http://www.cba.gov.ar/reparticion/ministerio-de-ciencia-y-tecnologia/secretaria-de-politicas-y-estrategias-en-ciencias-tecnologia-y-sociedad/,
Laura Mema Piccione,Directora General de Coordinación Técnica y Administrativa,Ministro de Ciencia y Tecnología,http://www.cba.gov.ar/reparticion/ministerio-de-ciencia-y-tecnologia/direccion-general-de-coordinacion-tecnica-y-administrativa/,http://www.cba.gov.ar/wp-content/4p96humuzp/2014/04/memalaura.jpg
Mario Buteler,Director de Innovación Científica Tecnológica,Ministro de Ciencia y Tecnología,http://www.cba.gov.ar/reparticion/ministerio-de-ciencia-y-tecnologia/direccion-de-innovacion/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/10/Mario_Buteler.jpg
,Director de Promoción de Actividades Científicas,Ministro de Ciencia y Tecnología,http://www.cba.gov.ar/reparticion/ministerio-de-ciencia-y-tecnologia/direccion-de-promocion-de-actividades-cientificas/,
Victoria Rosati,Directora de Vinculación Institucional y Sectorial,Ministro de Ciencia y Tecnología,http://www.cba.gov.ar/reparticion/ministerio-de-ciencia-y-tecnologia/direccion-de-vinculacion-institucional-y-sectorial/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/10/Victoria_Rosati.jpg
María José Viola,Directora de Divulgación y Enseñanza de las Ciencias,Ministro de Ciencia y Tecnología,http://www.cba.gov.ar/reparticion/ministerio-de-ciencia-y-tecnologia/direccion-de-divulgacion-y-ensenanza-de-las-ciencias/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/11/maria-jose-viola.jpg
Franco Hernán Mogetta Prevedello,Secretario de Trabajo y Relaciones Laborales,Ministro de Trabajo,http://www.cba.gov.ar/reparticion/ministerio-de-trabajo/secretaria-de-trabajo-y-relaciones-laborales/,http://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/Franco-Hernán-Mogetta-Preve.jpg
Roberto Luis Reale,"Subsecretario Legal, Técnico y de Coordinación Administrativa",Ministro de Trabajo,http://www.cba.gov.ar/reparticion/ministerio-de-trabajo/subsecretaria-legal-tecnico-y-de-coordinacion-administrativa/,http://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/Roberto-Luis-Reale.jpg
Elizabeth Verónica Bianchi,"Directora General de Relaciones Laborales, Higiene, Seguridad e Inspección del Trabajo",Ministro de Trabajo,http://www.cba.gov.ar/reparticion/ministerio-de-trabajo/direccion-general-de-relaciones-laborales-higiene-seguridad-e-inspeccion-del-trabajo/,http://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/Elizabeth-Bianchi.jpg
Lucas Sebastián Giorgi,Director Provincial de Trabajo Agrario y Asuntos Rurales,Ministro de Trabajo,http://www.cba.gov.ar/reparticion/ministerio-de-trabajo/direccion-provincial-de-trabajo-agrario-y-asuntos-rurales/,http://www.cba.gov.ar/wp-content/4p96humuzp/2016/03/Lucas-Giorgi.jpg
Mario Flores Fernández,Asesor del Ministro,Ministro de Trabajo,http://www.cba.gov.ar/reparticion/ministerio-de-trabajo/asesor-del-ministro/,http://www.cba.gov.ar/wp-content/4p96humuzp/2016/04/Mario-Flores-Fernández.jpg
Marcelo Botta,Presidente,Presidente,http://www.cba.gov.ar/reparticion/ministerio-de-inversion-y-financiamiento/agencia-cordoba-inversiones-y-financiamiento-sem/,http://www.cba.gov.ar/wp-content/4p96humuzp/2014/07/botta.jpg
,Director General de Ceremonial y Audiencias,Secretaria ,http://www.cba.gov.ar/reparticion/secretaria-privada-del-poder-ejecutivo/direccion-general-de-ceremonial-y-audiencias/,
Julieta Aquino,Directora General de Coordinación y Recursos Humano,Secretaria ,http://www.cba.gov.ar/reparticion/secretaria-privada-del-poder-ejecutivo/direccion-general-de-coordinacion-y-recursos-humano/,
