funcionario,cargo,ministerio,url
Ignacio Gei,Subsecretario de Telecomunicaciones,Secretario de Comunicaciones y Conectividad,http://www.cba.gov.ar/reparticion/secretaria-de-comunicaciones-y-conectividad/
Manuel Grahovac,Director General de Integración y Planeamiento,Secretario de Comunicaciones y Conectividad,http://www.cba.gov.ar/reparticion/secretaria-de-comunicaciones-y-conectividad/
Mauricio Gabriel Bísaro,Director General de Operaciones,Secretario de Comunicaciones y Conectividad,http://www.cba.gov.ar/reparticion/secretaria-de-comunicaciones-y-conectividad/
Gabriel Ignacio Roberi,Subsecretario de Articulación y Control de Gestión,Secretario de Comunicaciones y Conectividad,http://www.cba.gov.ar/reparticion/secretaria-de-comunicaciones-y-conectividad/
Manuel Esnaola,Director General de Planeamiento y Relaciones Institucionales,Secretario de Comunicaciones y Conectividad,http://www.cba.gov.ar/reparticion/secretaria-de-comunicaciones-y-conectividad/
 Ana Carolina Comba,Directora General de Administración,Secretario de Comunicaciones y Conectividad,http://www.cba.gov.ar/reparticion/secretaria-de-comunicaciones-y-conectividad/
Valeria Liliana Brain,Directora General de Asuntos Legales,Secretario de Comunicaciones y Conectividad,http://www.cba.gov.ar/reparticion/secretaria-de-comunicaciones-y-conectividad/
Julio César Comello,Secretario de Coordinación de la Secretaría General de la Gobernación,Secretaria General de la Gobernación,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/
Silvana Castellano,Directora General de Administración,Secretaria General de la Gobernación,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/
Lorena Zanón Argenti,Directora General de Coordinación Operativa,Secretaria General de la Gobernación,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/
Claudia Mabel Oliva,Directora General del Programa de Asistencia Integral de Córdoba (P.A.iCor),Secretaria General de la Gobernación,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/
Juan Esteban Ferreiro,Secretario de Fortalecimiento Institucional,Secretaria General de la Gobernación,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/
Daniela María Beletti,Directora General de Gestión Pública,Secretaria General de la Gobernación,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/
Héctor Juan Conti,Director General de Estadística y Censos,Secretaria General de la Gobernación,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/
Gustavo Panighel,Secretario de Capital Humano,Secretaria General de la Gobernación,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/
Christian Zoela,Director General de Desarrollo del Capital Humano ,Secretaria General de la Gobernación,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/
Cr. José Ernesto Sonzini,Director General de Gestión Salarial,Secretaria General de la Gobernación,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/
Leonardo Catelli,Director General de Administración de Capital Humano,Secretaria General de la Gobernación,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/
Lilian Raquel Rivero,Directora General de Asuntos Legales,Secretaria General de la Gobernación,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/
Juan D´Amico,Director General de Coordinación de Infraestructura Tecnológica,Secretaria General de la Gobernación,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/
Mario Gabriel Marcellini,Director  General de Aeronáutica,Secretaria General de la Gobernación,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/
Carlos Luciano Ilari,Secretario de la Delegación Oficial del Gobierno de la Provincia de Córdoba,Secretaria General de la Gobernación,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/
Hugo Emilio Palacios,Secretario de la Delegación del Gobierno de la Provincia de Córdoba en Río Cuarto,Secretaria General de la Gobernación,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/
Lic. Jorge Sebastián Borgognoni,Director General de la Delegación Oficial del Gobierno de la Provincia de Córdoba en la ciudad de San Francisco,Secretaria General de la Gobernación,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/
Esther Galina,Secretaria de Gestión en Ciencia y Tecnología,Ministro de Ciencia y Tecnología,http://www.cba.gov.ar/reparticion/ministerio-de-ciencia-y-tecnologia/
Alberto Francisco Daghero,"Secretario de Políticas y Estrategias en Ciencias, Tecnología y Sociedad",Ministro de Ciencia y Tecnología,http://www.cba.gov.ar/reparticion/ministerio-de-ciencia-y-tecnologia/
Laura Mema Piccione,Directora General de Coordinación Técnica y Administrativa,Ministro de Ciencia y Tecnología,http://www.cba.gov.ar/reparticion/ministerio-de-ciencia-y-tecnologia/
Mario Buteler,Director de Innovación Científica Tecnológica,Ministro de Ciencia y Tecnología,http://www.cba.gov.ar/reparticion/ministerio-de-ciencia-y-tecnologia/
Victoria Rosati,Directora de Vinculación Institucional y Sectorial,Ministro de Ciencia y Tecnología,http://www.cba.gov.ar/reparticion/ministerio-de-ciencia-y-tecnologia/
María José Viola,Directora de Divulgación y Enseñanza de las Ciencias,Ministro de Ciencia y Tecnología,http://www.cba.gov.ar/reparticion/ministerio-de-ciencia-y-tecnologia/
Franco Hernán Mogetta Prevedello,Secretario de Trabajo y Relaciones Laborales,Ministro de Trabajo,http://www.cba.gov.ar/reparticion/ministerio-de-trabajo/
Roberto Luis Reale,"Subsecretario Legal, Técnico y de Coordinación Administrativa",Ministro de Trabajo,http://www.cba.gov.ar/reparticion/ministerio-de-trabajo/
Elizabeth Verónica Bianchi,"Directora General de Relaciones Laborales, Higiene, Seguridad e Inspección del Trabajo",Ministro de Trabajo,http://www.cba.gov.ar/reparticion/ministerio-de-trabajo/
Lucas Sebastián Giorgi,Director Provincial de Trabajo Agrario y Asuntos Rurales,Ministro de Trabajo,http://www.cba.gov.ar/reparticion/ministerio-de-trabajo/
Mario Flores Fernández,Asesor del Ministro,Ministro de Trabajo,http://www.cba.gov.ar/reparticion/ministerio-de-trabajo/
Marcelo Botta,Presidente,Presidente,http://www.cba.gov.ar/reparticion/ministerio-de-inversion-y-financiamiento/agencia-cordoba-inversiones-y-financiamiento-sem/
Jorge Marcotegui,Presidente Agencia ProCórdoba,Presidente Agencia ProCórdoba,http://www.cba.gov.ar/reparticion/agencia-pro-cordoba/
Alejandra Torres,Secretaria de Planeamiento y Modernización,Secretaria de Planeamiento y Modernización,http://www.cba.gov.ar/reparticion/secretaria-de-planeamiento-y-modernizacion/
María Laura Castiñeiras,Secretaria ,Secretaria ,http://www.cba.gov.ar/reparticion/secretaria-privada-del-poder-ejecutivo/
Francisco José Fortuna,Ministro de Salud,Ministro de Salud,http://www.cba.gov.ar/reparticion/ministerio-de-salud/
Luis Angulo,Ministro de Justicia y Derechos Humanos,Ministro de Justicia y Derechos Humanos,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/
Mario César Cuneo,Presidente de la Agencia Córdoba Innovar y Emprender,Presidente de la Agencia Córdoba Innovar y Emprender,http://www.cba.gov.ar/reparticion/agencia-cordoba-innovar-y-emprender/
 Ricardo Roberto Sosa,Ministro de Obras Públicas y Financiamiento,Ministro de Obras Públicas y Financiamiento,http://www.cba.gov.ar/reparticion/ministerio-de-obras-pubicas-y-financiamiento/
Roberto Avalle,"Ministro de Industria, Comercio y Minería","Ministro de Industria, Comercio y Minería",http://www.cba.gov.ar/reparticion/ministerio-de-industria-comercio-y-mineria/
Robert Rodrigo Rossotto,Director General,Presidente Agencia ProCórdoba,http://www.cba.gov.ar/reparticion/agencia-pro-cordoba/
Julieta Aquino,Directora General de Coordinación y Recursos Humano,Secretaria ,http://www.cba.gov.ar/reparticion/secretaria-privada-del-poder-ejecutivo/
Alejandro Agustín Vespasiani,Secretario de Coordinación de Proyectos de Modernización,Secretaria de Planeamiento y Modernización,http://www.cba.gov.ar/reparticion/secretaria-de-planeamiento-y-modernizacion/
Néstor Emilio Filipponi,Secretario de Salud Mental,Ministro de Salud,http://www.cba.gov.ar/reparticion/ministerio-de-salud/
María Pía Guidetti,Directora General de Gestión Sanitaria,Ministro de Salud,http://www.cba.gov.ar/reparticion/ministerio-de-salud/
Diego Cardozo,Secretario de Servicios Asistenciales,Ministro de Salud,http://www.cba.gov.ar/reparticion/ministerio-de-salud/
Héctor Ricardo Máisuls,"Subsecretario de Coordinación de Atención Médica, Calidad Hospitalaria y Seguridad del Paciente",Ministro de Salud,http://www.cba.gov.ar/reparticion/ministerio-de-salud/
María Teresa Puga Marín,"Subsecretaria de Discapacidad, Rehabilitación e Inclusión",Ministro de Salud,http://www.cba.gov.ar/reparticion/ministerio-de-salud/
Eduardo Ariel Carrizo,Subsecretario de Fiscalización y Control de Atención Médica,Ministro de Salud,http://www.cba.gov.ar/reparticion/ministerio-de-salud/
José Andrés Ahun Frau,Director General Legal y Técnico,Ministro de Salud,http://www.cba.gov.ar/reparticion/ministerio-de-salud/
Analía Cudolá,Secretaria de Prevención y Promoción de la Salud,Ministro de Salud,http://www.cba.gov.ar/reparticion/ministerio-de-salud/
Diego Alonso,Subsecretario de Coordinación de Programas,Ministro de Salud,http://www.cba.gov.ar/reparticion/ministerio-de-salud/
Leonardo Luís Mongi,Director General de Enfermedades Crónicas no Transmisibles,Ministro de Salud,http://www.cba.gov.ar/reparticion/ministerio-de-salud/
Alejandro Gauto,Secretaria de Coordinación y Gestión Administrativa,Ministro de Salud,http://www.cba.gov.ar/reparticion/ministerio-de-salud/
Alejandro Soliani,Subsecretario Contable y Presupuestario,Ministro de Salud,http://www.cba.gov.ar/reparticion/ministerio-de-salud/
Roque Alberto Villalón,Subsecretario de Coordinación de Programas Sociales y Administración Hospitalaria,Ministro de Salud,http://www.cba.gov.ar/reparticion/ministerio-de-salud/
Norberto Emilio Martínez,Director General de Acción Social,Ministro de Salud,http://www.cba.gov.ar/reparticion/ministerio-de-salud/
José María Cittadini,Director General de Compras y Contrataciones,Ministro de Salud,http://www.cba.gov.ar/reparticion/ministerio-de-salud/
Adrián  Danieli,Director General de Infraestructura,Ministro de Salud,http://www.cba.gov.ar/reparticion/ministerio-de-salud/
Darío Gigena Parker ,Secretario de Prevención y Asistencia de las Adicciones,Ministro de Salud,http://www.cba.gov.ar/reparticion/ministerio-de-salud/
Pablo Bonino,Subsecretario de Prevención de Adicciones ,Ministro de Salud,http://www.cba.gov.ar/reparticion/ministerio-de-salud/
Sergio Victorio Metrebian,Director General de Capacitación y Formación en Salud,Ministro de Salud,http://www.cba.gov.ar/reparticion/ministerio-de-salud/
Laura Matilde Echenique,Secretaria de Justicia,Ministro de Justicia y Derechos Humanos,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/
Darío Conrado Luna,Presidente Unidad Ejecutora para el Saneamiento de Títulos,Ministro de Justicia y Derechos Humanos,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/
Raúl Hernando Sánchez,Secretario de Derechos Humanos,Ministro de Justicia y Derechos Humanos,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/
Graciela Ayame,Subsecretaria de Derechos Humanos,Ministro de Justicia y Derechos Humanos,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/
Cristian Scheurer,Director General de Capacitación y Difusión de los Derechos Humanos en la Comunidad,Ministro de Justicia y Derechos Humanos,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/
Claudia Roxana Martínez,Secretaria de Lucha contra la Violencia a la Mujer y Trata de Personas,Ministro de Justicia y Derechos Humanos,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/
Cintia Daniela Hayipanteli,Subsecretaria de Asistencia y Trata de Personas,Ministro de Justicia y Derechos Humanos,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/
Emma Lucía García,Subsecretaria de Lucha Contra la Violencia de Género y Familia,Ministro de Justicia y Derechos Humanos,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/
José Ricardo Piñero,"Secretario de Niñez, Adolescencia y Familia",Ministro de Justicia y Derechos Humanos,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/
Antonio Franco,"Subsecretario de Niñez, Adolescencia y Familia",Ministro de Justicia y Derechos Humanos,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/
Pablo Rivarola,Director General Penal Juvenil,Ministro de Justicia y Derechos Humanos,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/
Juan Martín Farfán,Secretario de Organización y Gestión Penitenciaria,Ministro de Justicia y Derechos Humanos,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/
Sandra Liz Chiavaro,Directora General de Capacitación Profesional Penitenciaria,Ministro de Justicia y Derechos Humanos,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/
Juan E. Gelos,"Director de Trabajo, Producción y Comercialización Penitenciaria del Servicio Penitenciario de Córdoba",Ministro de Justicia y Derechos Humanos,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/
Juan María Bouvier,Titular,Ministro de Justicia y Derechos Humanos,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/
María Inés Cabanillas,Directora de Administración del Servicio Penitenciario,Ministro de Justicia y Derechos Humanos,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/
Rosa E. Alaimo,Directora de Asuntos Jurídicos del Servicio Penitenciario de Córdoba,Ministro de Justicia y Derechos Humanos,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/
Nicolás Ramón Pagnucco,Director General de Asuntos Legales,Ministro de Justicia y Derechos Humanos,http://www.cba.gov.ar/reparticion/ministerio-de-justicia-y-derechos-humanos/
José Rodríguez Ponce,Director ejecutivo,Presidente de la Agencia Córdoba Innovar y Emprender,http://www.cba.gov.ar/reparticion/agencia-cordoba-innovar-y-emprender/
Nicolás Piloni, Director de Innovación,Presidente de la Agencia Córdoba Innovar y Emprender,http://www.cba.gov.ar/reparticion/agencia-cordoba-innovar-y-emprender/
Patricio Bavera,Director Río Cuarto,Presidente de la Agencia Córdoba Innovar y Emprender,http://www.cba.gov.ar/reparticion/agencia-cordoba-innovar-y-emprender/
Pablo Javier De Chiara,Secretario de Industria,"Ministro de Industria, Comercio y Minería",http://www.cba.gov.ar/reparticion/ministerio-de-industria-comercio-y-mineria/
Federico Ezequiel Priotti,Director General de Control de la Industria Alimenticia,"Ministro de Industria, Comercio y Minería",http://www.cba.gov.ar/reparticion/ministerio-de-industria-comercio-y-mineria/
Víctor Roberto Lutri,Secretario de Comercio,"Ministro de Industria, Comercio y Minería",http://www.cba.gov.ar/reparticion/ministerio-de-industria-comercio-y-mineria/
Aldo Antonio Bonalumi,Secretario de Minería,"Ministro de Industria, Comercio y Minería",http://www.cba.gov.ar/reparticion/ministerio-de-industria-comercio-y-mineria/
Hugo Bonansea,Secretario de Promoción de Inversiones,"Ministro de Industria, Comercio y Minería",http://www.cba.gov.ar/reparticion/ministerio-de-industria-comercio-y-mineria/
Tomás Agustín Grunhaut,Subsecretario de Pequeña y Mediana Empresa,"Ministro de Industria, Comercio y Minería",http://www.cba.gov.ar/reparticion/ministerio-de-industria-comercio-y-mineria/
Abraham Galo,Subsecretario de Cooperativas y Mutuales,"Ministro de Industria, Comercio y Minería",http://www.cba.gov.ar/reparticion/ministerio-de-industria-comercio-y-mineria/
Ramiro Oscar Herrera,Subsecretario de Administración y Asuntos Legales,"Ministro de Industria, Comercio y Minería",http://www.cba.gov.ar/reparticion/ministerio-de-industria-comercio-y-mineria/
Roque Martín Spidalieri,Secretario de Financiamiento,Ministro de Obras Públicas y Financiamiento,http://www.cba.gov.ar/reparticion/ministerio-de-obras-pubicas-y-financiamiento/
César Spaletti,Subsecretario de Vivienda,Ministro de Obras Públicas y Financiamiento,http://www.cba.gov.ar/reparticion/ministerio-de-obras-pubicas-y-financiamiento/
Facundo Chacón,Dirección General de Vivienda,Ministro de Obras Públicas y Financiamiento,http://www.cba.gov.ar/reparticion/ministerio-de-obras-pubicas-y-financiamiento/
Daniel Eduardo Rey,Secretario de Arquitectura,Ministro de Obras Públicas y Financiamiento,http://www.cba.gov.ar/reparticion/ministerio-de-obras-pubicas-y-financiamiento/
Jose Maiocco,Director General de Obras,Ministro de Obras Públicas y Financiamiento,http://www.cba.gov.ar/reparticion/ministerio-de-obras-pubicas-y-financiamiento/
Jose Luis Ferrero,Director General de Proyectos,Ministro de Obras Públicas y Financiamiento,http://www.cba.gov.ar/reparticion/ministerio-de-obras-pubicas-y-financiamiento/
Omar Clemente Soldano,Subsecretario de Administración,Ministro de Obras Públicas y Financiamiento,http://www.cba.gov.ar/reparticion/ministerio-de-obras-pubicas-y-financiamiento/
María Soledad Usín,Directora General de Administración,Ministro de Obras Públicas y Financiamiento,http://www.cba.gov.ar/reparticion/ministerio-de-obras-pubicas-y-financiamiento/
 Osvaldo Rubén Vottero,Presidente de la Dirección Provincial de Vialidad,Ministro de Obras Públicas y Financiamiento,http://www.cba.gov.ar/reparticion/ministerio-de-obras-pubicas-y-financiamiento/
Leandro Álvaro García,Director General de Coordinación de Obras Públicas,Ministro de Obras Públicas y Financiamiento,http://www.cba.gov.ar/reparticion/ministerio-de-obras-pubicas-y-financiamiento/
 Liliana G. Padró,Directora General de Asuntos Legales,Ministro de Obras Públicas y Financiamiento,http://www.cba.gov.ar/reparticion/ministerio-de-obras-pubicas-y-financiamiento/
