funcionario,cargo,ministerio,url
Miguel Angel Rizzotti,Director General de Prevención de Accidentes de Tránsito,Ministro de Gobierno,http://www.cba.gov.ar/reparticion/ministerio-de-gobierno/
Gustavo Vélez,Jefe de Policía,Ministro de Gobierno,http://www.cba.gov.ar/reparticion/ministerio-de-gobierno/
Gerardo García,Fiscal Adjunto,Fiscal de Estado,http://www.cba.gov.ar/reparticion/fiscalia-de-estado/
María Soledad Gutíerrez,Fiscal Adjunta,Fiscal de Estado,http://www.cba.gov.ar/reparticion/fiscalia-de-estado/
Ferrero Horacio,Secretario Relator,Fiscal de Estado,http://www.cba.gov.ar/reparticion/fiscalia-de-estado/
Diego Sebastián Llamas Barud,Secretario Relator,Fiscal de Estado,http://www.cba.gov.ar/reparticion/fiscalia-de-estado/
María Eugenia Heredia,Secretaria Relator,Fiscal de Estado,http://www.cba.gov.ar/reparticion/fiscalia-de-estado/
Pablo Juan María Reyna,Procurador del Tesoro,Fiscal de Estado,http://www.cba.gov.ar/reparticion/fiscalia-de-estado/
Leticia Valeria Aguirre,Director General Asuntos Judiciales,Fiscal de Estado,http://www.cba.gov.ar/reparticion/fiscalia-de-estado/
Mariana Beatriz Miseta,Director General de Asuntos Judiciales del Interior,Fiscal de Estado,http://www.cba.gov.ar/reparticion/fiscalia-de-estado/
Carola Camps,Subsecretaria de Coordinación,Fiscal de Estado,http://www.cba.gov.ar/reparticion/fiscalia-de-estado/
Fernando Pesci,Subsecretario Legal y Técnica,Fiscal de Estado,http://www.cba.gov.ar/reparticion/fiscalia-de-estado/
Eduardo Octavio Figueroa,Director General de Despacho,Fiscal de Estado,http://www.cba.gov.ar/reparticion/fiscalia-de-estado/
María Amelia Assaad,Escribana General de Gobierno,Fiscal de Estado,http://www.cba.gov.ar/reparticion/fiscalia-de-estado/
Julia Olga Núñez,Escribana Sustituta de Gobierno,Fiscal de Estado,http://www.cba.gov.ar/reparticion/fiscalia-de-estado/
Gerardo García,Director de la Escuela de Abogados del Estado (ad honorem),Fiscal de Estado,http://www.cba.gov.ar/reparticion/fiscalia-de-estado/
Mónica Silvia Zornberg,Secretaria de Administración Financiera,Ministro de Finanzas,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/
Daniela Yanina Rodolfi Tuzinkevicz,Contadora General de la Provincia,Ministro de Finanzas,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/
María Gimena Domenella,Directora General de Compras y Contrataciones,Ministro de Finanzas,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/
Elida Cristina Ruiz,Directora General de Presupuesto e Inversiones Públicas,Ministro de Finanzas,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/
Armando Guillermo García,Director General Tesorería General y Crédito Público,Ministro de Finanzas,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/
Franco Carlos Boneu,Secretario de Innovación y Modernización,Ministro de Finanzas,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/
Daniel Alejandro Gómez,Subsecretario de Tecnologías de la Información,Ministro de Finanzas,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/
Mariano Martín Méndez,Secretario Legal y Técnica y de Previsión Social,Ministro de Finanzas,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/
Micaela Vanesa Speranza Bejas,Directora General de Coordinación Operativa,Ministro de Finanzas,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/
Verónica Gabriela Sanz,Directora General de Inspección de Personas Jurídicas,Ministro de Finanzas,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/
María Laura García,Subsecretaria de Estudios Económicos,Ministro de Finanzas,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/
Heber Farfán,Secretario de Ingresos Públicos,Ministro de Finanzas,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/
Sebastián Perlati,Dirección de Asesoría Fiscal,Ministro de Finanzas,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/
Mónica Alejandra Farfán,Directora del Registro General de la Provincia,Ministro de Finanzas,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/
Gustavo Marcelo García,Director General de Catastro,Ministro de Finanzas,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/
Heber Farfán (A cargo),Director General de Rentas ,Ministro de Finanzas,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/
Adrián Alberto Daniele,Fiscalía Tributaria Adjunta ,Ministro de Finanzas,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/
Adolfo Bringas,Director de Policía Fiscal,Ministro de Finanzas,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/
Deborah Petrakovsky,Secretaria de Coordinación y Acción Social,Ministro de Desarrollo Social,http://www.cba.gov.ar/reparticion/ministerio-de-desarrollo-social/
Julieta Aquino,Subsecretaria de Programas Sociales,Ministro de Desarrollo Social,http://www.cba.gov.ar/reparticion/ministerio-de-desarrollo-social/
Ramón Bernabey,Subsecretario de Programas Regionales,Ministro de Desarrollo Social,http://www.cba.gov.ar/reparticion/ministerio-de-desarrollo-social/
José Miguel Angulo Bocco,Director General de Habitat ,Ministro de Desarrollo Social,http://www.cba.gov.ar/reparticion/ministerio-de-desarrollo-social/
Olga Beatriz Ghione,Directora General de Programas Especiales,Ministro de Desarrollo Social,http://www.cba.gov.ar/reparticion/ministerio-de-desarrollo-social/
Raúl La Cava,Secretario de Políticas Sociales,Ministro de Desarrollo Social,http://www.cba.gov.ar/reparticion/ministerio-de-desarrollo-social/
Eduardo Serrano,Director General de Emergencias Sociales,Ministro de Desarrollo Social,http://www.cba.gov.ar/reparticion/ministerio-de-desarrollo-social/
Patricia Mojica,Secretaria de Políticas para Personas Mayores,Ministro de Desarrollo Social,http://www.cba.gov.ar/reparticion/ministerio-de-desarrollo-social/
Sergio Cornejo,Subsecretario de Inclusión Social,Ministro de Desarrollo Social,http://www.cba.gov.ar/reparticion/ministerio-de-desarrollo-social/
Nélida Orioli,Directora General de Adultos Mayores,Ministro de Desarrollo Social,http://www.cba.gov.ar/reparticion/ministerio-de-desarrollo-social/
 Alejandro Mario Francesconi,Subsecretaria de Administración y Recursos Humanos,Ministro de Desarrollo Social,http://www.cba.gov.ar/reparticion/ministerio-de-desarrollo-social/
Sebastián Pablo Cornaglia,Director General de Asuntos Legales,Ministro de Desarrollo Social,http://www.cba.gov.ar/reparticion/ministerio-de-desarrollo-social/
,,,http://www.upc.edu.ar
Delia Provinciali,Secretaria de Educación,Ministro de Educación,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/
Horacio Ferreyra,Subsecretarío de Promoción de Igualdad y Calidad Educativa,Ministro de Educación,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/
Carlos Omar Brene,Director General de Educación de Jóvenes y Adultos,Ministro de Educación,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/
Nicolás De Mori,"Director General de Planeamiento, Información y Evaluación Educativa",Ministro de Educación,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/
Víctor Gómez,Director General Educación Secundaria,Ministro de Educación,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/
Hugo Ramón Zanet,Director General Enseñanza Privada,Ministro de Educación,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/
Domingo Aringoli,Director General Educación Técnica y Formación Profesional,Ministro de Educación,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/
Santiago Amadeo Lucero,Director General Educación Superior,Ministro de Educación,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/
Stella Maris Adrover,Directora General de Educación Primaria,Ministro de Educación,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/
