ministerio,cargo,funcionario,url
"Ministro de Agua, Ambiente y Servicios Públicos",Director General de Transporte de Cargas,Carlos Alaye,http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/
"Ministro de Agua, Ambiente y Servicios Públicos",Director General de Transporte de Pasajeros,Marcelo Mansilla,http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/
"Ministro de Agua, Ambiente y Servicios Públicos",Directora General de Instrumentos y Políticas de Gestión Ambiental,Maria Alejandra Novara ,http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/
"Ministro de Agua, Ambiente y Servicios Públicos","Ministro de Agua, Ambiente y Servicios Públicos",Fabián López,http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/
"Ministro de Agua, Ambiente y Servicios Públicos",Secretario de Ambiente y Cambio Climático,Javier Britch,http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/
"Ministro de Agua, Ambiente y Servicios Públicos",Secretario de Desarrollo Energético,Edgar Castelló (A Cargo),http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/
"Ministro de Agua, Ambiente y Servicios Públicos",Secretario de Recursos Hídricos,Edgar Castelló,http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/
"Ministro de Agua, Ambiente y Servicios Públicos",Secretario de Servicios Públicos,Alberto Bresciano,http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/
"Ministro de Agua, Ambiente y Servicios Públicos",Secretario de Transporte,Gabriel Bermúdez,http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/
"Ministro de Agua, Ambiente y Servicios Públicos",Subdirectora de Policía Ambiental,María Victoria Muccillo,http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/
"Ministro de Agua, Ambiente y Servicios Públicos",Subsecretario de Control y Administración,Gabriel Antonio Testagrossa,http://www.cba.gov.ar/reparticion/ministerio-de-agua-ambiente-y-servicios-publicos-3/
Ministro de Ciencia y Tecnología,Director de Innovación Científica Tecnológica,Mario Buteler,http://www.cba.gov.ar/reparticion/ministerio-de-ciencia-y-tecnologia/
Ministro de Ciencia y Tecnología,Directora de Divulgación y Enseñanza de las Ciencias,María José Viola,http://www.cba.gov.ar/reparticion/ministerio-de-ciencia-y-tecnologia/
Ministro de Ciencia y Tecnología,Directora de Vinculación Institucional y Sectorial,Victoria Rosati,http://www.cba.gov.ar/reparticion/ministerio-de-ciencia-y-tecnologia/
Ministro de Ciencia y Tecnología,Directora General de Coordinación Técnica y Administrativa,Laura Mema Piccione,http://www.cba.gov.ar/reparticion/ministerio-de-ciencia-y-tecnologia/
Ministro de Ciencia y Tecnología,Ministro de Ciencia y Tecnología,Carlos Walter Robledo,http://www.cba.gov.ar/reparticion/ministerio-de-ciencia-y-tecnologia/
Ministro de Ciencia y Tecnología,Secretaria de Gestión en Ciencia y Tecnología,Esther Galina,http://www.cba.gov.ar/reparticion/ministerio-de-ciencia-y-tecnologia/
Ministro de Ciencia y Tecnología,"Secretario de Políticas y Estrategias en Ciencias, Tecnología y Sociedad",Alberto Francisco Daghero,http://www.cba.gov.ar/reparticion/ministerio-de-ciencia-y-tecnologia/
Ministro de Desarrollo Social,Director General de Asuntos Legales,Mario Miranda,http://www.cba.gov.ar/reparticion/ministerio-de-desarrollo-social/
Ministro de Desarrollo Social,Director General de Emergencias Sociales,Eduardo Serrano,http://www.cba.gov.ar/reparticion/ministerio-de-desarrollo-social/
Ministro de Desarrollo Social,Director General de Habitat Social,Luis Gustavo Vélez,http://www.cba.gov.ar/reparticion/ministerio-de-desarrollo-social/
Ministro de Desarrollo Social,Directora General de Adultos Mayores,Nélida Orioli,http://www.cba.gov.ar/reparticion/ministerio-de-desarrollo-social/
Ministro de Desarrollo Social,Directora General de Programas Especiales,Olga Beatriz Ghione,http://www.cba.gov.ar/reparticion/ministerio-de-desarrollo-social/
Ministro de Desarrollo Social,Ministro de Desarrollo Social,Sergio Hugo Tocalli,http://www.cba.gov.ar/reparticion/ministerio-de-desarrollo-social/
Ministro de Desarrollo Social,Secretaria de Coordinación y Acción Social,Déborah Petrakovsky Rosatti,http://www.cba.gov.ar/reparticion/ministerio-de-desarrollo-social/
Ministro de Desarrollo Social,Secretario de Políticas Sociales,Raúl La Cava,http://www.cba.gov.ar/reparticion/ministerio-de-desarrollo-social/
Ministro de Desarrollo Social,Subsecretaria de Administración y Recursos Humanos,María Luisa Bacile,http://www.cba.gov.ar/reparticion/ministerio-de-desarrollo-social/
Ministro de Desarrollo Social,Subsecretaria de Programas Sociales,Julieta Aquino,http://www.cba.gov.ar/reparticion/ministerio-de-desarrollo-social/
Ministro de Desarrollo Social,Subsecretario de Inclusión Social,Sergio Cornejo,http://www.cba.gov.ar/reparticion/ministerio-de-desarrollo-social/
Ministro de Educación,Director General de Asuntos Legales ,Alfredo Oscar Colazo,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/
Ministro de Educación,Director General de Educación de Jóvenes y Adultos,Carlos Omar Brene,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/
Ministro de Educación,Director General de Infraestructura Escolar,Carlos Ricardo Giovannoni,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/
Ministro de Educación,"Director General de Planeamiento, Información y Evaluación Educativa",Nicolás De Mori,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/
Ministro de Educación,Director General de Programas Especiales,Carlos Pedetta,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/
Ministro de Educación,Director General Educación Secundaria,Víctor Gómez,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/
Ministro de Educación,Director General Educación Superior,Santiago Amadeo Lucero,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/
Ministro de Educación,Director General Educación Técnica y Formación Profesional,Domingo Aringoli,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/
Ministro de Educación,Director General Enseñanza Privada,Hugo Ramón Zanet,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/
Ministro de Educación,Directora de Recursos Humanos,Virginia Monassa,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/
Ministro de Educación,Directora General de Educación Especial y Hospitalaria,Alicia Beatriz Bonetto,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/
Ministro de Educación,Directora General de Educación Inicial,Edith Teresa Flores,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/
Ministro de Educación,Directora General de Educación Primaria,Stella Maris Adrover,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/
Ministro de Educación,Ministro de Educación,Walter Mario Grahovac,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/
Ministro de Educación,Secretaria de Educación,Delia Provinciali,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/
Ministro de Educación,Secretario de Gestión Administrativa,Rodolfo Nicolás Carvajal,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/
Ministro de Educación,Secretario de Relaciones Institucionales,Carlos Alberto Sanchez,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/
Ministro de Educación,Subdirector de Participación de la Comunidad,Marcelo Fita,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/
Ministro de Educación,Subdirector de Programas Especiales e Infraestructura,José Antonio Papa,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/
Ministro de Educación,Subdirector de Promoción Social y de la Salud,Carlos Dalmiro Paz,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/
Ministro de Educación,Subdirector de Recursos Humanos,Sergio Adrián Vexenat ,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/
Ministro de Educación,Subdirectora de Programas Especiales,Rosana Zárate,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/
Ministro de Educación,Subsecretarío de Promoción de Igualdad y Calidad Educativa,Horacio Ferreyra,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/
Ministro de Finanzas,Contadora General de la Provincia,Daniela Yanina Rodolfi Tuzinkevicz,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/
Ministro de Finanzas,Dirección de Asesoría Fiscal,Sebastián Perlati,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/
Ministro de Finanzas,Director de Policía Fiscal,Carlos Julio Maldonado García,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/
Ministro de Finanzas,Director General de Catastro,Gustavo Marcelo García,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/
Ministro de Finanzas,Director General de Rentas ,Heber Farfán (A cargo),http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/
Ministro de Finanzas,Director General Tesorería General y Crédito Público,Armando Guillermo García,http://www.cba.gov.ar/reparticion/ministerio-de-finanzas/
