ministerio,cargo,funcionario,url
Ministro de Salud,Secretario de Salud Mental,Néstor Emilio Filipponi,http://www.cba.gov.ar/reparticion/ministerio-de-salud/
Ministro de Salud,Secretario de Servicios Asistenciales,Diego Cardozo,http://www.cba.gov.ar/reparticion/ministerio-de-salud/
Ministro de Salud,"Subsecretaria de Discapacidad, Rehabilitación e Inclusión",María Teresa Puga Marín,http://www.cba.gov.ar/reparticion/ministerio-de-salud/
Ministro de Salud,Subsecretario Contable y Presupuestario,Alejandro Soliani,http://www.cba.gov.ar/reparticion/ministerio-de-salud/
Ministro de Salud,"Subsecretario de Coordinación de Atención Médica, Calidad Hospitalaria y Seguridad del Paciente",Héctor Ricardo Máisuls,http://www.cba.gov.ar/reparticion/ministerio-de-salud/
Ministro de Salud,Subsecretario de Coordinación de Programas,Diego Alonso,http://www.cba.gov.ar/reparticion/ministerio-de-salud/
Ministro de Salud,Subsecretario de Coordinación de Programas Sociales y Administración Hospitalaria,Roque Alberto Villalón,http://www.cba.gov.ar/reparticion/ministerio-de-salud/
Ministro de Salud,Subsecretario de Fiscalización y Control de Atención Médica,Eduardo Ariel Carrizo,http://www.cba.gov.ar/reparticion/ministerio-de-salud/
Ministro de Salud,Subsecretario de Prevención de Adicciones ,Pablo Bonino,http://www.cba.gov.ar/reparticion/ministerio-de-salud/
Ministro de Trabajo,Asesor del Ministro,Mario Flores Fernández,http://www.cba.gov.ar/reparticion/ministerio-de-trabajo/
Ministro de Trabajo,Director Provincial de Trabajo Agrario y Asuntos Rurales,Lucas Sebastián Giorgi,http://www.cba.gov.ar/reparticion/ministerio-de-trabajo/
Ministro de Trabajo,"Directora General de Relaciones Laborales, Higiene, Seguridad e Inspección del Trabajo",Elizabeth Verónica Bianchi,http://www.cba.gov.ar/reparticion/ministerio-de-trabajo/
Ministro de Trabajo,Ministro de Trabajo,Omar Hugo Sereno,http://www.cba.gov.ar/reparticion/ministerio-de-trabajo/
Ministro de Trabajo,Secretario de Trabajo y Relaciones Laborales,Franco Hernán Mogetta Prevedello,http://www.cba.gov.ar/reparticion/ministerio-de-trabajo/
Ministro de Trabajo,"Subsecretario Legal, Técnico y de Coordinación Administrativa",Roberto Luis Reale,http://www.cba.gov.ar/reparticion/ministerio-de-trabajo/
Presidente,Presidente,Marcelo Botta,http://www.cba.gov.ar/reparticion/ministerio-de-inversion-y-financiamiento/agencia-cordoba-inversiones-y-financiamiento-sem/
Presidente Agencia ProCórdoba,Director General,Robert Rodrigo Rossotto,http://www.cba.gov.ar/reparticion/agencia-pro-cordoba/
Presidente Agencia ProCórdoba,Presidente Agencia ProCórdoba,Jorge Marcotegui,http://www.cba.gov.ar/reparticion/agencia-pro-cordoba/
Presidente de la Agencia Córdoba Cultura,Presidente de la Agencia Córdoba Cultura,Nora Esther Bedano,http://www.cba.gov.ar/reparticion/agencia-cordoba-cultura/
Presidente de la Agencia Córdoba Cultura,Vocal del Directorio de la Agencia Córdoba Cultura,Jorge Álvarez,http://www.cba.gov.ar/reparticion/agencia-cordoba-cultura/
Presidente de la Agencia Córdoba Cultura,Vocal del Directorio de la Agencia Córdoba Cultura,Liliana Beatriz Arraya ,http://www.cba.gov.ar/reparticion/agencia-cordoba-cultura/
Presidente de la Agencia Córdoba Cultura,Vocal del Directorio de la Agencia Córdoba Cultura,Marcos Hernán Bovo,http://www.cba.gov.ar/reparticion/agencia-cordoba-cultura/
Presidente de la Agencia Córdoba Cultura,Vocal del Directorio de la Agencia Córdoba Cultura,Nora Cingolani,http://www.cba.gov.ar/reparticion/agencia-cordoba-cultura/
Presidente de la Agencia Córdoba Deportes,Presidente de la Agencia Córdoba Deportes,Medardo Ligorria,http://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/
Presidente de la Agencia Córdoba Deportes,Síndico Titular,Mario Jorge López Amaya,http://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/
Presidente de la Agencia Córdoba Deportes,Vocal,Amira Ramadán,http://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/
Presidente de la Agencia Córdoba Deportes,Vocal,Georgina Bardach,http://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/
Presidente de la Agencia Córdoba Deportes,Vocal,Jorge Cattaneo,http://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/
Presidente de la Agencia Córdoba Deportes,Vocal,Jorge Pratolongo,http://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/
Presidente de la Agencia Córdoba Deportes,Vocal,Juan Domingo Viola,http://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/
Presidente de la Agencia Córdoba Deportes,Vocal,Mariano Reutemann,http://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/
Presidente de la Agencia Córdoba Deportes,Vocal,Oscar Dertycia,http://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/
Presidente de la Agencia Córdoba Deportes,Vocal,Silvio Tranquilli,http://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/
Presidente de la Agencia Córdoba Deportes,Vocal de Directorio,Mariano Schiaretti,http://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/
Presidente de la Agencia Córdoba Innovar y Emprender, Director de Innovación,Nicolás Piloni,http://www.cba.gov.ar/reparticion/agencia-cordoba-innovar-y-emprender/
Presidente de la Agencia Córdoba Innovar y Emprender,Director ejecutivo,José Rodríguez Ponce,http://www.cba.gov.ar/reparticion/agencia-cordoba-innovar-y-emprender/
Presidente de la Agencia Córdoba Innovar y Emprender,Director Río Cuarto,Patricio Bavera,http://www.cba.gov.ar/reparticion/agencia-cordoba-innovar-y-emprender/
Presidente de la Agencia Córdoba Innovar y Emprender,Presidente de la Agencia Córdoba Innovar y Emprender,Mario César Cuneo,http://www.cba.gov.ar/reparticion/agencia-cordoba-innovar-y-emprender/
Presidente de la Agencia Córdoba Joven,Director de Promoción y Eventos,Luis Muñoz,http://www.cba.gov.ar/reparticion/agencia-cordoba-joven/
Presidente de la Agencia Córdoba Joven,Director General de Administracion y Legales,Lucas Mezzano,http://www.cba.gov.ar/reparticion/agencia-cordoba-joven/
Presidente de la Agencia Córdoba Joven,Presidente de la Agencia Córdoba Joven,Julieta Rinaldi,http://www.cba.gov.ar/reparticion/agencia-cordoba-joven/
Presidente de la Agencia Córdoba Joven,Vocal Agencia Córdoba Joven, Matias Anconetani,http://www.cba.gov.ar/reparticion/agencia-cordoba-joven/
Presidente de la Agencia Córdoba Joven,Vocal Agencia Córdoba Joven,Jonatan Palomeque Farfán,http://www.cba.gov.ar/reparticion/agencia-cordoba-joven/
Presidente de la Agencia Córdoba Joven,Vocal Agencia Córdoba Joven,Leandro Martín Carpintero,http://www.cba.gov.ar/reparticion/agencia-cordoba-joven/
Presidente de la Agencia Córdoba Joven,Vocal Agencia Córdoba Joven,Marcelo Ferro,http://www.cba.gov.ar/reparticion/agencia-cordoba-joven/
Presidente de la Agencia Córdoba Joven,Vocal Agencia Córdoba Joven,Valeria Butteler,http://www.cba.gov.ar/reparticion/agencia-cordoba-joven/
Presidente de la Agencia Córdoba Joven,Vocal Agencia Córdoba Joven ,Edgar Bruno,http://www.cba.gov.ar/reparticion/agencia-cordoba-joven/
Presidente de la Agencia Córdoba Turismo,Presidente de la Agencia Córdoba Turismo,Julio Bañuelos,http://www.cba.gov.ar/reparticion/agencia-cordoba-turismo/
Presidente de la Agencia Córdoba Turismo,Síndico Titular de la Agencia Córdoba Turismo,Héctor Dante Colombo,http://www.cba.gov.ar/reparticion/agencia-cordoba-turismo/
Presidente de la Agencia Córdoba Turismo,Vocal del Directorio de la Agencia Córdoba Turismo,Fabricio Sebastián Díaz,http://www.cba.gov.ar/reparticion/agencia-cordoba-turismo/
Presidente de la Agencia Córdoba Turismo,Vocal del Directorio de la Agencia Córdoba Turismo,Gabriel Raies,http://www.cba.gov.ar/reparticion/agencia-cordoba-turismo/
Presidente de la Agencia Córdoba Turismo,Vocal del Directorio de la Agencia Córdoba Turismo,Marcela Flachs,http://www.cba.gov.ar/reparticion/agencia-cordoba-turismo/
Presidente de la Agencia Córdoba Turismo,Vocal del Directorio de la Agencia Córdoba Turismo,Ramón Graneros,http://www.cba.gov.ar/reparticion/agencia-cordoba-turismo/
Presidente de la Agencia Córdoba Turismo,Vocal del Directorio de la Agencia Córdoba Turismo,Raúl Ahumada,http://www.cba.gov.ar/reparticion/agencia-cordoba-turismo/
Presidente de la Agencia Córdoba Turismo,Vocal del Directorio de la Agencia Córdoba Turismo,Sergio Spicogna,http://www.cba.gov.ar/reparticion/agencia-cordoba-turismo/
Secretaria ,Directora General de Coordinación y Recursos Humano,Julieta Aquino,http://www.cba.gov.ar/reparticion/secretaria-privada-del-poder-ejecutivo/
Secretaria ,Secretaria ,María Laura Castiñeiras,http://www.cba.gov.ar/reparticion/secretaria-privada-del-poder-ejecutivo/
Secretaria de Equidad y Promoción del Empleo,Director de la Unidad Ejecutora del Programa de Desarrollo del Norte y Oeste Cordobés,Alfredo Altamirano,http://www.cba.gov.ar/reparticion/secretaria-de-equidad-y-promocion-del-empleo/
Secretaria de Equidad y Promoción del Empleo,Director General Banco de la Gente,Marcos Darsie,http://www.cba.gov.ar/reparticion/secretaria-de-equidad-y-promocion-del-empleo/
Secretaria de Equidad y Promoción del Empleo,Director General de Administración,Silvio Rodolfo Conturso,http://www.cba.gov.ar/reparticion/secretaria-de-equidad-y-promocion-del-empleo/
Secretaria de Equidad y Promoción del Empleo,Director General de Análisis de Indicadores Socio-laborales y Promoción del Empleo,Germán Adolfo Bossa,http://www.cba.gov.ar/reparticion/secretaria-de-equidad-y-promocion-del-empleo/
Secretaria de Equidad y Promoción del Empleo,Director General de Asuntos Legales,Gerardo Cámara,http://www.cba.gov.ar/reparticion/secretaria-de-equidad-y-promocion-del-empleo/
Secretaria de Equidad y Promoción del Empleo,Director General de Promoción del Empleo, Dante Nicolás Quaglia,http://www.cba.gov.ar/reparticion/secretaria-de-equidad-y-promocion-del-empleo/
Secretaria de Equidad y Promoción del Empleo,Director General de Promoción Territorial,Carlos Mariano Lorenzo,http://www.cba.gov.ar/reparticion/secretaria-de-equidad-y-promocion-del-empleo/
Secretaria de Equidad y Promoción del Empleo,Directora de la Unidad Ejecutora del Plan Por la Flia,Débora Mariano,http://www.cba.gov.ar/reparticion/secretaria-de-equidad-y-promocion-del-empleo/
Secretaria de Equidad y Promoción del Empleo,Directora General de Coordinación de Salas Cuna,Inés María Zinny ,http://www.cba.gov.ar/reparticion/secretaria-de-equidad-y-promocion-del-empleo/
Secretaria de Equidad y Promoción del Empleo,Directora General de Coordinación del Programa Córdoba con Ellas,María Victoria Moncada,http://www.cba.gov.ar/reparticion/secretaria-de-equidad-y-promocion-del-empleo/
Secretaria de Equidad y Promoción del Empleo,Secretaria de Equidad,Carolina del Valle Basualdo,http://www.cba.gov.ar/reparticion/secretaria-de-equidad-y-promocion-del-empleo/
Secretaria de Equidad y Promoción del Empleo,Secretaria de Equidad y Promoción del Empleo,Laura Jure,http://www.cba.gov.ar/reparticion/secretaria-de-equidad-y-promocion-del-empleo/
Secretaria de Equidad y Promoción del Empleo,Secretario de Promoción del Empleo,Miguel Pedro Civallero,http://www.cba.gov.ar/reparticion/secretaria-de-equidad-y-promocion-del-empleo/
Secretaria de Equidad y Promoción del Empleo,Subsecretaria de Formación Profesional y Capacitación Laboral,María Soledad Ferraro,http://www.cba.gov.ar/reparticion/secretaria-de-equidad-y-promocion-del-empleo/
Secretaria de Equidad y Promoción del Empleo,Subsecretario de Participación Comunitaria,Luis Leonardo Limia,http://www.cba.gov.ar/reparticion/secretaria-de-equidad-y-promocion-del-empleo/
Secretaria de Planeamiento y Modernización,Secretaria de Planeamiento y Modernización,Alejandra Torres,http://www.cba.gov.ar/reparticion/secretaria-de-planeamiento-y-modernizacion/
Secretaria de Planeamiento y Modernización,Secretario de Coordinación de Proyectos de Modernización,Alejandro Agustín Vespasiani,http://www.cba.gov.ar/reparticion/secretaria-de-planeamiento-y-modernizacion/
Secretaria General de la Gobernación,Director  General de Aeronáutica,Mario Gabriel Marcellini,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/
Secretaria General de la Gobernación,Director General de Administración de Capital Humano,Leonardo Catelli,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/
Secretaria General de la Gobernación,Director General de Coordinación de Infraestructura Tecnológica,Juan D´Amico,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/
Secretaria General de la Gobernación,Director General de Desarrollo del Capital Humano ,Christian Zoela,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/
Secretaria General de la Gobernación,Director General de Estadística y Censos,Héctor Juan Conti,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/
Secretaria General de la Gobernación,Director General de Gestión Salarial,Cr. José Ernesto Sonzini,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/
Secretaria General de la Gobernación,Director General de la Delegación Oficial del Gobierno de la Provincia de Córdoba en la ciudad de San Francisco,Lic. Jorge Sebastián Borgognoni,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/
Secretaria General de la Gobernación,Directora General de Administración,Silvana Castellano,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/
Secretaria General de la Gobernación,Directora General de Asuntos Legales,Lilian Raquel Rivero,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/
Secretaria General de la Gobernación,Directora General de Coordinación Operativa,Lorena Zanón Argenti,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/
Secretaria General de la Gobernación,Directora General de Gestión Pública,Daniela María Beletti,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/
Secretaria General de la Gobernación,Directora General del Programa de Asistencia Integral de Córdoba (P.A.iCor),Claudia Mabel Oliva,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/
Secretaria General de la Gobernación,Secretaria General de la Gobernación,Silvina Rivero,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/
Secretaria General de la Gobernación,Secretario de Capital Humano,Gustavo Panighel,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/
Secretaria General de la Gobernación,Secretario de Coordinación de la Secretaría General de la Gobernación,Julio César Comello,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/
Secretaria General de la Gobernación,Secretario de Fortalecimiento Institucional,Juan Esteban Ferreiro,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/
Secretaria General de la Gobernación,Secretario de la Delegación del Gobierno de la Provincia de Córdoba en Río Cuarto,Hugo Emilio Palacios,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/
Secretaria General de la Gobernación,Secretario de la Delegación Oficial del Gobierno de la Provincia de Córdoba,Carlos Luciano Ilari,http://www.cba.gov.ar/reparticion/secretaria-general-de-la-gobernacion/
Secretario de Comunicaciones y Conectividad,Director General de Integración y Planeamiento,Manuel Grahovac,http://www.cba.gov.ar/reparticion/secretaria-de-comunicaciones-y-conectividad/
Secretario de Comunicaciones y Conectividad,Director General de Planeamiento y Relaciones Institucionales,Manuel Esnaola,http://www.cba.gov.ar/reparticion/secretaria-de-comunicaciones-y-conectividad/
Secretario de Comunicaciones y Conectividad,Director General de Prensa, César Eduardo Jaimez,http://www.cba.gov.ar/reparticion/secretaria-de-comunicaciones-y-conectividad/
Secretario de Comunicaciones y Conectividad,Directora General de Administración, Ana Carolina Comba,http://www.cba.gov.ar/reparticion/secretaria-de-comunicaciones-y-conectividad/
Secretario de Comunicaciones y Conectividad,Directora General de Asuntos Legales,Valeria Liliana Brain,http://www.cba.gov.ar/reparticion/secretaria-de-comunicaciones-y-conectividad/
Secretario de Comunicaciones y Conectividad,Secretario de Comunicaciones y Conectividad,Manuel Calvo,http://www.cba.gov.ar/reparticion/secretaria-de-comunicaciones-y-conectividad/
Secretario de Comunicaciones y Conectividad,Secretario de Prensa,Gustavo Zamudio,http://www.cba.gov.ar/reparticion/secretaria-de-comunicaciones-y-conectividad/
Secretario de Comunicaciones y Conectividad,Subsecretaria de Contenidos Digitales,Soledad Baldacci,http://www.cba.gov.ar/reparticion/secretaria-de-comunicaciones-y-conectividad/
Secretario de Comunicaciones y Conectividad,Subsecretario de Articulación y Control de Gestión,Gabriel Ignacio Roberi,http://www.cba.gov.ar/reparticion/secretaria-de-comunicaciones-y-conectividad/
Secretario de Comunicaciones y Conectividad,Subsecretario de Difusión,Carlos Alejandro Arzú,http://www.cba.gov.ar/reparticion/secretaria-de-comunicaciones-y-conectividad/
Secretario de Comunicaciones y Conectividad,Subsecretario de Telecomunicaciones,Mauricio Gabriel Bisaro,http://www.cba.gov.ar/reparticion/secretaria-de-comunicaciones-y-conectividad/
